Correlativo;Dominio;Lengua;TipoRasgo;ValorRasgo
1;2;1;1;6
2;2;2;1;6
3;2;4;1;6
4;2;5;1;6
5;2;7;1;6
6;2;8;1;6
18;2;9;1;2
8;2;10;1;2
9;2;11;1;2
10;2;12;1;1
32;2;17;1;1
13;2;19;1;1
22;2;19;1;2
23;2;20;1;2
14;2;21;1;1
28;2;22;1;4
35;2;23;1;3
33;2;25;1;4
25;2;26;1;2
17;2;27;1;6
16;2;28;1;4
19;2;29;1;2
20;2;29;1;3
27;2;30;1;6
39;2;31;1;4
31;2;32;1;4
34;2;35;1;4
37;2;36;1;6
38;2;37;1;6
29;2;38;1;6
1312;2;61;1;4
387;3;1;3;6
424;3;1;4;5
152;3;1;5;1
443;3;1;7;1
194;3;1;8;1
249;3;1;9;1
441;3;1;10;1
442;3;1;11;1
470;3;1;12;1
471;3;1;13;1
891;3;1;6;2
892;3;1;1;2
896;3;1;2;2
893;3;1;14;2
894;3;1;15;2
895;3;1;16;2
388;3;2;3;1
425;3;2;4;2
484;3;2;5;1
159;3;2;7;1
195;3;2;8;1
251;3;2;9;1
487;3;2;10;1
279;3;2;11;1
485;3;2;12;2
486;3;2;13;1
901;3;2;6;1
900;3;2;1;1
904;3;2;2;1
899;3;2;14;1
902;3;2;15;1
903;3;2;16;1
389;3;3;3;1
426;3;3;4;2
154;3;3;5;1
160;3;3;7;1
196;3;3;8;1
488;3;3;9;1
908;3;3;10;1
491;3;3;11;1
489;3;3;12;2
911;3;3;13;2
905;3;3;6;1
906;3;3;1;1
912;3;3;2;1
907;3;3;14;1
909;3;3;15;1
910;3;3;16;1
390;3;4;3;1
918;3;4;4;2
499;3;4;5;2
161;3;4;7;1
496;3;4;8;1
497;3;4;9;1
280;3;4;10;1
498;3;4;11;1
494;3;4;12;2
495;3;4;13;1
916;3;4;6;1
917;3;4;1;1
919;3;4;2;2
913;3;4;14;1
914;3;4;15;1
915;3;4;16;1
391;3;5;3;1
1322;3;5;4;2
155;3;5;5;1
158;3;5;7;1
197;3;5;8;1
500;3;5;9;1
504;3;5;10;1
1320;3;5;11;1
502;3;5;12;2
503;3;5;13;2
897;3;5;6;1
898;3;5;1;1
1321;3;5;2;1
254;3;5;14;1
1323;3;5;15;1
501;3;5;16;1
554;3;7;2;2
392;3;7;3;1
427;3;7;4;2
156;3;7;5;1
551;3;7;7;1
198;3;7;8;1
256;3;7;9;1
552;3;7;10;1
553;3;7;11;1
556;3;7;12;2
555;3;7;13;2
991;3;7;6;1
990;3;7;1;1
992;3;7;2;1
989;3;7;14;1
987;3;7;15;1
988;3;7;16;1
