correlativo,lengua,sub-area,birchall-areas,birchall-east-west,area
1,mapudungun,southern andes,southern cone,west, andes
2,ancash quechua,central andes,central Andes,west,andes
3,cajamarca quechua,central andes,central Andes,west,andes
4,ecuadorian quechua,central andes,northern Andes,west,andes
5,ayacucho quechua,central andes,central Andes,west,andes
7,aymara,central andes,central Andes,west,andes
8,jaqaru,central andes,central Andes,west,andes
9,chipaya,central andes,central Andes,west,andes
10,uchumataqu,central andes,central Andes,west,andes
11,cholon,northern andes,central Andes,west,andes
12,mochica,northern andes,central Andes,west,andes
13,kunza,southern andes,central Andes,west,andes
14,millcayac,southern andes,southern cone,west,andes
15,allentiac,southern andes,southern cone,west,andes
16,selknam,patagonia,southern cone,west,patagonia
17,yahgan,patagonia,southern cone,west,patagonia
21,pilaga,chaco,chaco-panalto,east,chaco
23,wichi,chaco,chaco-panalto,east,chaco
25,ayoreo,chaco,chaco-panalto,east,chaco
26,tapiete,chaco,chaco-panalto,east,chaco
27,kawesqar,patagonia,southern cone,west,patagonia
28,tehuelche,patagonia,southern cone,west,patagonia
29,secoya,amazonia,northern Andes,west,amazonia
30,urarina,amazonia near,western amazonia,west,amazonia
35,yanesha,amazonia,western amazonia,west,amazonia
36,tariana,amazonia,western amazonia,west,amazonia
37,tucano,amazonia,northern Andes,west,amazonia
39,yauyos quechua,central andes,central Andes,west,andes
41,puquina,central andes,central Andes,west,andes
42,lule,chaco,chaco-panalto,east,chaco
43,vilela,chaco,chaco-panalto,east,chaco
44,santiago del estero quechua,central andes,central Andes,west,andes
45,pacaraos quechua,central andes,central Andes,west,andes
46,kokama,amazonia near,western amazonia,west,amazonia
47,gaviao,amazonia far,northern Andes,east,amazonia
48,tiriyo,amazonia far,northern Andes,east,amazonia
49,kalapalo,amazonia far,southern Amazonia,east,amazonia
50,karaja,amazonia far,chaco-panalto,east,amazonia
51,apinaye,amazonia far,chaco-panalto,east,amazonia
52,kashibo-Kakataibo,amazonia near,western amazonia,west,amazonia
53,matses,amazonia far,western amazonia,west,amazonia
54,shiwilu,amazonia near,western amazonia,west,amazonia
55,cavineña,amazonia near,Southern Amazonia,east,amazonia
56,sanuma,amazonia far,western amazonia,west,amazonia
57,hup,amazonia far,western amazonia,west,amazonia
58,kulina,amazonia far,western amazonia,west,amazonia
59,bora,amazonia near,western amazonia,west,amazonia
61,trumai,amazonia far,southern Amazonia,east,amazonia
63,yurakare,amazonia near,southern Amazonia,east,amazonia
64,movima,amazonia near,southern Amazonia,east,amazonia
65,puinave,amazonia far,western amazonia,west,amazonia
71,sabane,amazonia far,southern Amazonia,east,amazonia
72,aguaruna,amazonia near,western amazonia,west,amazonia
74,kwaza,amazonia far,southern Amazonia,east,amazonia
75,kakua,amazonia far,northern Andes,west,amazonia
76,moseten,amazonia near,southern Amazonia,east,amazonia
