Andean;Languages;prefix;suffix;circumfix;preverbal clitic;postverbal clitic;preverbal particle;postverbal particle;preverbal aux verb;postverbal aux verb;unclear if aux verb or particle;more than one type of construction
1;Ancash Quechua;0;0;0;0;1;0;0;0;0;0;0
1;Cajamarca Quechua;0;0;0;0;0;1;0;0;0;0;0
1;Cuzco Quechua;0;0;0;0;0;1;0;0;0;0;0
1;Aymara;0;0;0;0;0;1;0;0;0;0;0
1;Jaqaru;0;0;0;0;0;1;0;0;0;0;0
1;Chipaya;0;0;0;0;0;1;0;0;0;0;0
1;Uchumataqu (Uru);0;0;0;0;0;1;0;0;0;0;0
1;Cholón;0;1;0;0;0;0;0;0;0;0;0
1;Mochica;0;0;0;0;0;1;0;0;0;0;0
1;Puquina;0;0;0;0;0;1;0;0;0;0;0
1;Kunza;0;1;0;0;0;0;0;0;0;0;0
1;Allentiac;0;0;0;0;0;1;0;0;0;0;0
1;Millcayac;0;1;0;0;0;0;0;0;0;0;0
1;Mapudungun;0;1;0;0;0;0;0;0;0;0;0
0;kawesqar;0;0;0;0;0;0;0;0;0;1;0
0;Yahgan;0;0;0;0;0;1;0;0;0;0;0
0;Selk’nam;0;0;0;0;0;0;0;0;1;0;0
0;Tehuelche;0;0;0;0;0;0;0;1;0;0;0
0;Pilagá;1;0;0;0;0;0;0;0;0;0;0
0;Wichí;0;0;1;0;0;0;0;0;0;0;0
0;Lule;0;0;0;0;0;0;1;0;0;0;0
0;Vilela;0;1;0;0;0;0;0;0;0;0;0
0;Ayoreo;0;0;0;0;0;1;0;0;0;0;0
0;Tapieté;0;1;0;0;0;0;0;0;0;0;0
0;Tariana;0;0;0;0;0;0;0;0;0;0;1
0;Yanesha;0;0;0;0;1;1;0;0;0;0;0
0;Kokama-Kokamilla;0;0;0;0;0;1;0;0;0;0;0
0;Gavião;0;0;0;0;0;1;0;0;0;0;0
0;Tiriyó;0;1;0;0;0;0;0;0;0;0;0
0;Kalapalo;0;0;0;0;0;1;0;0;0;0;0
0;Tucano;0;1;0;0;0;0;0;0;0;0;0
0;Secoya;0;0;0;0;0;0;0;0;1;0;0
0;Karajá;0;0;0;0;1;0;0;0;0;0;0
0;Apinayé;0;0;0;0;1;0;0;0;0;0;0
0;Kashibo-Kakataibo;0;0;0;0;1;0;0;0;0;0;0
0;Matsés;0;1;0;0;0;0;0;0;0;0;0
0;Shiwilu;0;1;0;0;0;0;0;0;0;0;0
0;Cavineña;0;0;0;0;1;0;0;0;0;0;0
0;Sanuma;0;0;0;0;0;0;0;0;1;0;0
0;Aguaruna;0;1;0;0;0;0;0;0;0;0;0
0;Hup;0;1;0;0;0;0;0;0;0;0;0
0;Kulina;0;1;0;0;0;0;0;0;0;0;0
0;Sabanê;0;1;0;0;0;0;0;0;0;0;0
0;Bora;0;0;0;0;0;0;0;0;0;0;1
0;Urarina;0;1;0;0;0;0;0;0;0;0;0
0;Trumai;0;0;0;0;0;0;1;0;0;0;0
0;Yurakaré;0;0;0;0;0;1;0;0;0;0;0
0;Movima;0;0;0;0;0;1;0;0;0;0;0
0;Puinave;1;0;0;0;0;0;0;0;0;0;0
0;Kwaza;0;1;0;0;0;0;0;0;0;0;0
0;Kakua;0;1;0;0;0;0;0;0;0;0;0
0;Mosetén;0;0;0;0;0;1;0;0;0;0;0
