Glottocode;ISO639P3code
lefa1242;lfa
lefa1242;lfa
lefa1242;lfa
bafi1243;ksf
tibe1274;ngy
nugu1242;yas
mmaa1238;mmu
tuki1240;bag
yang1293;yav
ewon1239;ewo
aasa1238;aas
abag1245;abg
aban1242;abm
abar1238;mij
pall1244;abw
abau1245;aau
abau1245;aau
abaz1241;abq
abee1242;aba
abee1242;aba
abid1235;abi
abid1235;abi
abin1243;bsa
abip1241;axb
maha1291;mjx
abkh1244;abk
abkh1244;abk
east2544;aaq
west2630;abe
abon1238;abo
abro1238;abr
abro1238;abr
abuu1241;ado
abua1244;abn
abui1241;abz
abui1241;abz
abui1241;abz
abui1241;abz
mari1414;mrr
heib1243;hbn
abun1252;kgr
lamp1242;abl
abur1243;abu
abur1243;abu
abur1243;abu
abua1245;aah
abua1245;aah
west2635;knj
achi1257;ace
jewi1240;tmr
acha1250;aca
acha1249;acn
ache1246;guq
acol1236;ach
acol1236;ach
achu1248;acu
achu1247;acv
west2632;kjq
adan1251;adn
adan1248;adq
adan1251;adn
adel1244;ade
adho1243;adh
;wsg
adio1239;adj
adio1239;adj
adiw1235;gas
galo1242;adl
adny1235;adt
airo1242;air
kome1238;kge
adyg1241;ady
adyg1241;ady
adze1240;adz
aeka1244;aez
aeka1244;aez
aeka1244;aez
aeky1238;awi
aeky1238;awi
afad1236;aal
afar1241;aar
afar1241;aar
afar1241;aar
afit1238;aft
batu1255;btu
afri1274;afr
femb1238;agl
agar1252;agd
aghe1239;agq
aghe1239;agq
aghe1239;agq
aghe1239;agq
aghe1239;agq
aghu1255;ahh
aghu1255;ahh
aghu1256;gtu
moru1253;mgd
agii1245;aif
agii1245;aif
anyi1245;any
anyi1245;any
anyi1245;any
anyi1245;any
agob1244;kit
agoi1246;ibm
agoi1246;ibm
guja1253;gju
cent2084;agt
agua1252;agu
agua1252;agu
agua1253;agr
agua1253;agr
aghu1253;agx
agwa1247;yay
agwa1247;yay
agwa1247;yay
agwa1247;yay
agwa1247;yay
ahan1244;ahn
ahan1243;aha
keor1235;xeu
igoo1238;ahl
ahom1240;aho
ahte1237;aht
manc1252;mnc
aika1237;tba
aikl1237;mwg
yang1296;ymo
aime1238;ail
aimo1244;aim
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
ainu1240;ain
aiom1240;aki
airo1242;air
para1301;prk
apro1235;ahp
tiag1235;ahi
band1353;bpq
ajas1235;aja
ajab1235;ajg
ajab1235;ajg
ajie1238;aji
ajyi1238;cpc
akkk1240;akq
akaa1242;soh
sout2774;ijs
cent2126;ryu
akan1250;aka
east2379;aer
akar1243;acl
akas1242;aks
akaw1239;ake
akaw1239;ake
akab1249;abj
akab1248;akm
akac1240;aci
akak1252;akx
akak1253;aky
akak1251;ack
akee1238;aik
akeb1238;keu
akei1237;tsr
akei1237;tsr
akei1237;tsr
akha1245;ahk
akhv1239;akv
okod1238;okd
akka1240;akk
akka1240;akk
akka1237;sia
chec1245;che
akla1241;akl
akol1237;akt
siwu1238;akp
ikpo1238;kpo
akru1241;afi
akum1238;aku
akpe1248;ibe
akun1241;aqz
akwa1248;akw
alab1237;akz
alag1242;ala
alag1248;wbj
alak1253;alk
alam1246;amp
alam1246;amp
alaw1244;alh
tosk1239;als
gheg1238;aln
tosk1239;als
aleg1238;alf
aleg1238;alf
alek1238;gah
aleu1260;ale
aleu1260;ale
tape1242;afp
algo1255;alq
alii1240;aiy
tune1261;tvu
alla1248;ald
alla1248;ald
;qbt
aloa1235;zaq
alor1247;aol
alor1247;aol
alor1247;aol
swis1247;gsw
alse1251;aes
sout2694;alt
nort2875;aqn
sout2905;agy
alun1238;alp
alur1250;alz
alut1245;alr
mono1273;mte
alya1239;aly
alya1239;aly
alya1239;aly
amap1240;amm
amah1245;amq
amah1246;amc
amai1246;ali
amal1242;aad
;
aman1265;amn
aman1266;ama
amar1272;aie
amar1274;amr
adze1240;adz
mant1267;myg
amat1238;zpo
amap1240;amm
amap1240;amm
amas1236;nyi
nucl1454;yva
amba1265;amk
amba1269;aew
amba1269;aew
amba1269;aew
amba1269;aew
amba1269;aew
amba1269;aew
amba1269;aew
waig1244;wgo
ambe1247;ael
ambe1247;ael
ambl1237;alm
ambo1250;abs
ambo1250;abs
ambu1247;abt
amda1238;amj
assy1241;aii
amel1241;aey
dera1245;kbv
amha1245;amh
amha1245;amh
amha1245;amh
amii1238;amy
nata1254;ais
amoo1242;amo
amol1235;alx
amun1246;adw
minn1241;nan
safe1240;apz
ampa1238;aqd
amri1238;ajz
amto1250;amt
yane1238;ame
amar1271;amg
anaa1238;anw
anaa1238;anw
indo1317;bdl
anak1240;akg
anal1239;anm
anam1249;aan
anat1248;dti
anda1283;afd
anda1280;hca
anda1286;ana
anda1284;aod
andi1255;ani
andi1255;ani
ando1255;anb
ando1256;ano
;
moru1253;mgd
anei1239;aty
anem1249;anz
anem1248;aby
anfi1235;myo
anga1290;agm
anga1293;age
anga1293;age
anga1292;akh
anga1288;njm
ngas1240;anc
ngas1240;anc
nend1239;anh
angg1239;yli
angi1238;anp
faiw1243;fai
angl1239;rme
ango1258;aoa
ango1254;agg
ango1255;aog
ango1255;aog
angu1242;awg
anii1246;hnh
kanu1277;kni
nort2930;kiw
anii1245;blo
anim1239;anf
futu1245;fut
anka1246;aak
anka1246;aak
anma1239;amx
nung1282;nun
anor1241;anj
anor1241;anj
ansu1237;and
anuf1239;cko
anuk1239;aui
anut1237;aud
anyi1245;any
anua1242;anu
emai1241;ema
omie1241;aom
aore1237;aor
apal1257;apy
cane1242;ram
apat1240;apt
apia1248;api
apin1244;apn
apma1240;app
izon1238;ijc
apur1254;apu
aput1237;apx
apma1241;kbx
apma1241;kbx
arab1267;ard
arab1268;arl
cypr1248;acy
gulf1241;afb
liby1240;ayl
nort3139;apc
stan1318;arb
suda1236;apd
gwan1268;gwn
arag1245;arg
arak1252;akr
aral1243;atq
chal1275;cld
;
aram1253;stk
east2379;aer
aran1237;jbj
aran1237;jbj
arao1248;aro
arap1274;arp
buki1249;ape
para1310;aap
pano1254;knt
solo1258;aaw
araw1273;awt
araw1272;awm
lish1245;aij
arbo1245;arv
arbo1245;arv
arch1244;aqc
arch1244;aqc
aree1239;mwc
argo1244;agj
argu1237;agf
aari1239;aiw
arib1241;laz
nucl1454;yva
arig1246;aqg
arik1265;ark
arik1262;ari
arik1264;ait
arin1243;xrn
arin1244;luc
arin1244;luc
nucl1235;hye
clas1249;xcl
torr1259;tei
izon1238;ijc
arop1243;apr
arop1242;aps
aros1241;aia
fran1260;frp
west2441;are
east2379;aer
east2379;aer
east2379;aer
arta1239;atz
arua1260;msy
arue1240;aur
asss1237;asz
khor1269;kmz
dano1240;aso
asar1240;mtv
asas1240;asd
asha1243;cni
pich1237;cpu
ashe1273;cjo
pich1237;cpu
ucay1237;cpb
bori1243;adi
ashk1246;ask
phal1254;phl
buru1308;asi
asil1242;asl
asil1242;asl
asil1242;asl
nort2917;nks
cent2117;cns
yaos1235;asy
asoa1238;asv
assa1263;asm
assa1266;xss
assa1269;sjg
assi1247;asb
assy1241;aii
shin1264;scl
astu1245;ast
asum1237;aua
toca1235;asu
xing1248;asn
asun1235;aum
asun1235;aum
asut1235;asa
asut1235;asa
atak1252;aqp
ayac1239;quy
atat1238;mib
atay1247;tay
urip1239;upv
atem1241;ate
athp1241;aph
atik1240;atj
nort2939;neq
ator1244;aox
ator1244;aox
atsa1241;cch
atsa1241;cch
atsu1245;atw
pamp1244;att
atti1239;ati
atti1239;ati
sout2668;hnd
sout2668;hnd
auuu1241;avt
imbo1238;imo
yekh1238;ets
ndyu1242;djk
aulu1238;aul
