Language;ISOCODE
Western Abenaki;abe
Abkhaz;abk
Achi', Rabinal dialect;acr
Achumawi;acv
Adjukru;adj
Adzera;adz
Amele;aey
Afrikaans;afr
Angaatiha;agm
Aghem;agq
Ahtna;aht
Anguthimri;aid
Ainu, Hokkaido dialect;ain
Mpur;akc
Alabama;akz
Qawasqar;alc
Aleut, Eastern;ale
Alawa;alh
Albanian, Tosk dialect;als
Amahuaca;amc
Yanesha';ame
Amharic;amh
Amo;amo
Alamblak;amp
Emmi;amy
Angas;anc
Andoke;ano
Bukiyip;ape
Majang;ape
Jicarilla Apache;apj
Apinaye;apn
Apurinã;apu
Apalaí;apy
Ika (Colombia);arh
Arabela;arl
Mapudungun;arn
Arabic, Moroccan;ary
Egyptian Arabic;arz
Assamese;asm
Atikamekw Cree;atj
Awjila;auj
Avatime;avn
Awngi;awn
Abipon;axb
Yaka (Central African Republic);axk
ayoreo;ayo
Aymara, Central;ayr
Maybrat, Mayhapeh dialect of Ayawasi village;ayz
Azerbaijani, Northern;azj
Baré;bae
Bashkir;bak
Bambara;bam
Barasano, Northern;bao
Bariba;bba
Batak, Toba;bbc
Bats;bbl
Bardi;bcj
Bunuba;bck
Kohumono;bcs
Bandjalang (Yugumbir);bdy
Beja;bej
Bengali;ben
Bunan;bfs
Bagri;bgq
Bawm;bgr
Bahinemo;bjh
Bakairi;bkq
Bilua;blb
Nuxalk;blc
Buol;blf
Balantak;blz
Bagirmi;bmi
Muinane;bmr
Bola;bnp
Bora;boa
Birom;bom
Borôro;bor
Brahui;brh
Basari (Guinée, Sénégal);bsc
Batak, Karo;btx
Bulgarian;bul
Burarra;bvr
Baining;byx
Bribri;bzd
Bisu;bzi
Biri;bzr
Garifuna;cab
Kashubian;cab
Caddo;cad
Car Nicobarese;caq
Kalihna;car
Catalan, Eastern;cat
Cavineña;cav
Chimila;cbg
Chachi;cbi
Kakwa (Colombia);cbv
Chamicuro;ccc
Czech;ces
Nkore-Kiga;cgg
Chamorro;cha
Cahuilla;chl
Choctaw;cho
Chipewyan;chp
Chuvash;chv
Chimariko;cic
Cham, Western;cja
Cabecar;cjp
Chuave;cjv
Chukchi;ckt
Koasati;cku
Emberá;cmi
Mandarin;cmn
Asmat, Central, Kawenal dialect;cns
Cocopa;coc
Kokama;cod
Tsafiki;cof
Comanche;com
Cofan;con
Cowlitz;cow
Ajyîninka;cpc
Cree, Plains;crk
Northern East Cree;crl
Mutsun;css
Mutsun;css
Hanis;csz
Chatino, Western Highland;ctp
Cubeo;cub
Cuiba;cui
Kuna;cuk
Cupeño;cup
Cuitlatec;cuy
Cayuvava;cyb
Welsh, Northern;cym
Dangaleat, Western;daa
Dagbani;dag
Dar Fur Daju;daj
Dahalo;dal
Dyirbal;dbl
Najamba-Kindige Dogon, Najamba dialect;dbu
German;deu
Daga;dgz
Drehu;dhv
Diyari;dif
Zazaki, Southern;diq
Dhivehi;div
Dar Daju Daju;djc
Ndjébbana;djj
Ndyuka;djk
Dani, Lower Grand Valley;dni
Dení;dny
Paakantyi, Southern;drl
Rukai, Tanan dialect;dru
Darai;dry
Tadaksahak;dsq
Dupaningan Agta;duo
Dawro;dwr
Dhuwal;dwu
Diola-Fogny;dyo
Efik;efi
Ekari;ekg
Greek;ell
Grico;ell
Emerillon;eme
Forest Enets;enf
English (Standard Southern British);eng
Stau;ero
Ese Ejja;ese
Ejagham;etu
Basque, central;eus
Evenki;evn
Ewondo;ewo
Eyak;eya
