Glottocode;ISO6393;LanguageName
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kore1280;kor;Korean
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
kett1243;ket;Ket
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
lakk1252;lbe;Lak
kaba1278;kbd;Kabardian
kaba1278;kbd;Kabardian
kaba1278;kbd;Kabardian
kaba1278;kbd;Kabardian
kaba1278;kbd;Kabardian
kaba1278;kbd;Kabardian
