Name;GLOTTOCODE;ISOCODE
Swahili;swah1253;swh
Iraqw;iraq1241;irk
Gawwada;gaww1239;gwd
Hausa;haus1257;hau
Kanuri;cent2050;knc
Tarifiyt Berber;tari1263;rif
Seychelles Creole;sese1246;crs
Romanian;roma1327;ron
Selice Romani;west2376;
Lower Sorbian;lowe1385;dsb
Old High German;oldh1241;
Dutch;dutc1256;nld
English;stan1293;eng
Kildin Saami;kild1236;sjd
Bezhta;bezh1248;kap
Archi;arch1244;aqc
Manange;mana1288;nmm
Ket;kett1243;ket
Sakha;yaku1245;
Oroqen;oroq1238;orh
Japanese;nucl1643;jpn
Mandarin Chinese;mand1415;cmn
Thai;thai1261;tha
Vietnamese;viet1252;vie
White Hmong;hmon1333;mww
Ceq Wong;chew1245;cwg
Indonesian;indo1316;ind
Malagasy;plat1254;plt
Takia;taki1248;tbc
Hawaiian;hawa1245;haw
Gurindji;guri1247;gue
Yaqui;yaqu1251;yaq
Zinacantán Tzotzil;tzot1264;tzz
Q'eqchi';kekc1242;kek
Otomi;mezq1235;ote
Saramaccan;sara1340;srm
Imbabura Quechua;imba1240;qvi
Kali'na;gali1262;car
Hup;hupd1244;jup
Wichí;wich1264;mzh
Mapudungun;mapu1245;arn
Bantu;;
Afro-Asiatic;;
Ainu;ainu1240;ain
Akkadian;;
Alanian;;
Albanian;gheg1238;aln
Algonquian (Powhatan);;
Altaic;;
Aluku;ndyu1242;djk
Amharic;amha1245;amh
Egyptian;;
Arabic;stan1318;arb
Arabic (Moroccan);moro1292;ary
Arawakan (Haiti);;
Arawakan;;
Armenian;nucl1235;hye
Indo-Portuguese;indo1318;idb
Assyrian;;
Austro-Asiatic;;
Austronesian;;
Avar;avar1256;ava
Aymara;sout2996;ayc
Azerbaijani;sout2697;azb
Balinese;bali1278;ban
Baltic;;
Banda;band1344;liy
Banjarese;banj1239;bjn
Barbacoan;;
Bargam;barg1252;mlp
Bemba;bemb1258;bmy
Bengali;beng1280;ben
Benue-Congo;;
Berber;;
Bulgarian;bulg1262;bul
Burushaski;buru1296;bsk
Buryat;;bua
Cantonese;yuec1235;yue
Carib;gali1262;car
Celtic;;
Central Tai;;
Ch’ao-chou;;
Ch’olan;;
Ch’olti’;;
Ch’orti’;chor1273;caa
Chadic;;
Cham;east2563;cjm
Chamic;;
Chinese;mand1415;cmn
Hokkien;minn1241;nan
Min;minb1244;mnp
Northern Chinese;;
Chol;chol1285;cti
Chontal;high1242;chd
