lengua;isocode
Media Lengua;mue
shuar;jiv
mapudungun;arn
awa pit;kwi
epena pedee ;sja
quechua huallaga;qub
chayahuita;cbt
chiriguano;gui
achuar;acu
aguaruna;agr
huambisa;hub
allentiac;
amahuaca;amc
araona;aro
atacameño;kuz
aymara;aym
bari;mot
chimila;cbg
cogui;kog
damana;mbp
ika;arh
kuna;kvn
muisca;msc
tunebo;tnd
capanahua;kaq
cayapa;cbi
guambiano;gum
tsafiki;cof
catio;cto
embera chami;cmi
emberá;emp
yahgan;yag
gününa küne;pue
selknam;ona
tehuelche;teh
cholón;cht
camsá;kbh
waunana;noa
páez;pbb
esmeraldeño;
mochica;omc
uru;ure
chipaya;cap
lule;smj
puquina;puq
jaqaru;jqr
inga;inb
quechua ancashino;qxa
quechua ayacuchano;quy
quechua boliviano;qul
quechua cajamarqueño;qvc
quechua cochabambino;quh
quechua cuzqueño;quz
kichwa;qug
quechua imbabura;qvi
quechua tarma;qvn
millcayac;
