Lexema;Significado                                                                                                                                                                                    
aaya; este                                                                                                                                                                                            
ack; ac terminacion por yacko agua                                                                                                                                                                    
ackcka; yo                                                                                                                                                                                            
ack-catchar; perezoso, holgazán, ocio                                                                                                                                                                 
ack-iu; pluma de ave = ala. cfr na / hacking, as chiqui e iquique                                                                                                                                     
ack-col; conmigo (mecum) cfr / col                                                                                                                                                                    
ack; me. pron. personal 1.ps personal sin                                                                                                                                                             
ack-abí; ¡toma!                                                                                                                                                                                       
akainu; no, -cfr sickin                                                                                                                                                                               
aksaya; mío (pron. poses)                                                                                                                                                                             
aksu; poncho - rebozo                                                                                                                                                                                 
ay; en (prep.)                                                                                                                                                                                        
ay; su, suyo--> (colocado al final de una palabra como sufijo)                                                                                                                                        
aylí; por acá                                                                                                                                                                                         
ayquina; (debiese ser ay-ckina) anexo de la parroquia de calama                                                                                                                                       
aiss; aquí (tal vez por ahí)                                                                                                                                                                          
aytia; pecho                                                                                                                                                                                          
aytzir; vizcacha                                                                                                                                                                                      
ay-ián ; moza, mujer núbil                                                                                                                                                                            
almi-ia; camisa                                                                                                                                                                                       
am-mu; dueño, patrón                                                                                                                                                                                  
ampatur; un sapo de especie particular                                                                                                                                                                
anatán; esta noche (adverb)                                                                                                                                                                           
anck-si; recién (adverb)                                                                                                                                                                              
anuckápin; hoy dia (adverb) (anu i ckapin)                                                                                                                                                            
anu; ahora, hoy                                                                                                                                                                                       
anta; este                                                                                                                                                                                            
antap-tarde; esta tarde (adverb.)                                                                                                                                                                     
ao; terminación de al nombre de lugar v.g toconao                                                                                                                                                     
aps; ese                                                                                                                                                                                              
apus; harina tostada                                                                                                                                                                                  
ap-ps; acá                                                                                                                                                                                            
ara; por hara -alojamiento                                                                                                                                                                            
arackar; osamenta                                                                                                                                                                                     
arizaro; salar de la cordillera, via atacama                                                                                                                                                          
aro; cfr ara                                                                                                                                                                                          
aschiqui; apellido de chiu-chiu                                                                                                                                                                       
asnu; también asno--> asno, burro                                                                                                                                                                     
astatur; azotar                                                                                                                                                                                       
atacama; cabecera de la parroquia de su nombre                                                                                                                                                        
atán; noche--> cfr ttulti                                                                                                                                                                             
atas-cka; maíz decorticado                                                                                                                                                                            
atchi; negro, color oscuro - en combinación 1° latchiratchi--> zorzal, pájaro negro . 2° aschiqui: apellido de chiu-chiu en 1612. debiera escribirse atchi-hackiu--> pluma negra (generalmente los ape
at-halpa; gallina                                                                                                                                                                                     
atitchaus; poder                                                                                                                                                                                      
atitur; poder más, vencer                                                                                                                                                                             
atiu; oeste. cfr ckapin y ladia                                                                                                                                                                       
atta; ayer                                                                                                                                                                                            
au; cfr a, ar, ara                                                                                                                                                                                    
aulo; abuelo, es el termino cast. mal pronunciado                                                                                                                                                     
ay; apellido de 1615, mal ortografiado por ay-i                                                                                                                                                       
ay-i; maíz                                                                                                                                                                                            
ay-yan; desagradable                                                                                                                                                                                  
aychil; apellido de 1612. tal vez sea mala transcripción de aytzir: viscacha                                                                                                                          
baalatur; cavar                                                                                                                                                                                       
baalsatur; barrer                                                                                                                                                                                     
baanscki; tal vez (adverbio)                                                                                                                                                                          
baasnatur; descargar (asnatur, contiene la voz asnu)                                                                                                                                                  
back-cka; ribera, rio, hoya, llanura/ cfr ckantu/ cfr tarapaca                                                                                                                                        
backa-psladis; sur (compuesto de back-cka i lado, costado, en castellano)                                                                                                                             
backatur; embarrar, designa también el acto de peinarse para lo cual usan en atacama un barro alcalino formado con tierra que se recoje a las orillas de algunas lagunas de la cordillera y sirve para
backaratur; rascar                                                                                                                                                                                    
backiti; descuellado / tchocklo                                                                                                                                                                       
backnitur; sentarse, cabalgar, motar a caballo                                                                                                                                                        
backra; asta, cuerno                                                                                                                                                                                  
backs; abajo--> tal vez es corrupc. del castellano                                                                                                                                                    
backtcha; pobre, i por estension, huérfano                                                                                                                                                            
bailatur; payar                                                                                                                                                                                       
bailitur; halagar con los ojos                                                                                                                                                                        
baina; querido, mancebo                                                                                                                                                                               
baini; todo                                                                                                                                                                                           
balsantur; escoba / cfr baalsatur                                                                                                                                                                     
baltchar; malo, desgracia, asesinato                                                                                                                                                                  
baltatur; trillar. cfr hockuntur                                                                                                                                                                      
balt-hitur; correr                                                                                                                                                                                    
bañuncki; trillar / cfr hockuntur                                                                                                                                                                     
barainir; resbaloso                                                                                                                                                                                   
baratur; friega                                                                                                                                                                                       
batckatur; escuchar                                                                                                                                                                                   
bat-tar; era para trillar                                                                                                                                                                             
bé; si /cfr ickiare                                                                                                                                                                                   
becknatur; morder                                                                                                                                                                                     
becktchi; podrido / cfr ckaimainir llagas venéreas                                                                                                                                                    
beckuntur; acompañar                                                                                                                                                                                  
beluinatur; colgar                                                                                                                                                                                    
berinatur; temblar                                                                                                                                                                                    
bestatur; ladear                                                                                                                                                                                      
besti; torcido, chueco                                                                                                                                                                                
beter; camino / llámese así un ay-llo de atacama (escribese a veces peter y pete)                                                                                                                     
beu-nitur; espantar                                                                                                                                                                                   
bicki; parecido                                                                                                                                                                                       
bickutar; gallareta--> ave acuática que vive en los rios y lagunas atacameñas                                                                                                                         
bilti; halcon                                                                                                                                                                                         
birbintur; espolvorear                                                                                                                                                                                
bircke; fondo hecho de barro                                                                                                                                                                          
birinatur; arroyo                                                                                                                                                                                     
bitainatur; arroyo                                                                                                                                                                                    
bitchackma; pellizcar                                                                                                                                                                                 
bitis; pómulos                                                                                                                                                                                        
ckaabar; traje, vestido                                                                                                                                                                               
ckaabartantur; vestirse                                                                                                                                                                               
ckaacka; tartamudo                                                                                                                                                                                    
cka-acks; en frente!                                                                                                                                                                                  
ckaala; amarilla--> escríbese también ckalal                                                                                                                                                          
ckaapin; dia - designa también al sol                                                                                                                                                                 
ckaapir; zurdo                                                                                                                                                                                        
ckaari; verde                                                                                                                                                                                         
ckaaya; bueno                                                                                                                                                                                         
ckabaltun; estiércol de animales                                                                                                                                                                      
ckabar; ropa                                                                                                                                                                                          
ckabatur; esconder                                                                                                                                                                                    
ckabi; apellido de 1613 - lugar de cordillera, via antofagasta de la sierra                                                                                                                           
ckabur; cerro elevado                                                                                                                                                                                 
ckabutur; lavarse                                                                                                                                                                                     
ckabuy; apellido de 1613                                                                                                                                                                              
ckacka; frente                                                                                                                                                                                        
ckackar; ancho, amplitud                                                                                                                                                                              
ckackasima; las cejas                                                                                                                                                                                 
ckackasintur; acostarse de espaldas, boca arriba (lit. frente arriba)                                                                                                                                 
ckackatur; abrir (cfr ckastur)                                                                                                                                                                        
ckackma; cucaracho                                                                                                                                                                                    
ckacknatur; saborear                                                                                                                                                                                  
ckacktchi; pescado ( para los changos, cuyo alimento casi exclusivamente era el pescado, secomprende que el termino escojido para designarlo haya sido, ckacktchi, que significa bueno,agradable =    
ckackchi; bueno, agradable, sabroso al paladar                                                                                                                                                        
ckacktchir; bueno, agradable, sabroso al paladar (diferénciase de ckaaya, en que éste no se aplica a los alimentos, sino a cualidades morales, salud etc. aveces designa pequeñez.)                   
cckacktur; beber, pero hasta emborracharse                                                                                                                                                            
ckackuntur; gusto (radical ckacka-cktchi)                                                                                                                                                             
ckaickai ; oreja, orejas                                                                                                                                                                              
ckaimaiñir; podrido                                                                                                                                                                                   
ckaipi; boca, apellido de 1613                                                                                                                                                                        
ckair; salado                                                                                                                                                                                         
ckaitchi; piedra, peña, peñasco, granizo                                                                                                                                                              
ckalal; quebrada, valle estrecho entre dos cerros                                                                                                                                                     
ckalama; calama                                                                                                                                                                                       
ckalanna; yema                                                                                                                                                                                        
ckalck-haltur; huero                                                                                                                                                                                  
ckalck nar; golpe                                                                                                                                                                                     
ckalentata; lascivo                                                                                                                                                                                   
ckalis; odre                                                                                                                                                                                          
ckaltcha; escarpines                                                                                                                                                                                  
ckamai; nieto                                                                                                                                                                                         
ckamur; luna, mes                                                                                                                                                                                     
ckamuria-muley; eclipse de luna                                                                                                                                                                       
ckan; (cfr ckani i tchuckut)                                                                                                                                                                          
ckanas-cka; goloso                                                                                                                                                                                    
ckanckapur; panzón, obeso                                                                                                                                                                             
ckanckartur; raspar                                                                                                                                                                                   
ckanckata; acción de asar                                                                                                                                                                             
ckani; vientre (etimol, ckani--> vientre i cabur cerro) ni vientre (dícese tambien ckanni) a los habitantes del ayllo de beter, en atacama, díceseles ckantchisckur--> vientre áspero, velludo        
ckannai; amargo                                                                                                                                                                                       
ckannau; vieja, mujer anciana                                                                                                                                                                         
ckantu; orilla                                                                                                                                                                                        
ckantur; dar                                                                                                                                                                                          
ckapacka; rico                                                                                                                                                                                        
ckapar; raíz                                                                                                                                                                                          
ckapatur; grandote, crecer (radical. ckabur)                                                                                                                                                          
ckapckitur; retar, insultar, hacerse el poderoso (rad. ckabur)                                                                                                                                        
ckapin; sol (oeste?)                                                                                                                                                                                  
ckapir; izquierdo                                                                                                                                                                                     
ckapnatur; coquear, mascar coca, apellido: capniar, 1620                                                                                                                                              
ckapsuluntur; atorarse (tal vez tragarse la coca)                                                                                                                                                     
ckaptur; cargar a la espalda                                                                                                                                                                          
ckapun; (cfr leri)                                                                                                                                                                                    
ckapur; grande, (cfr ckabur, alto y hondo)                                                                                                                                                            
ckaputur; sobar                                                                                                                                                                                       
ckarackartur; despedazar, cortar                                                                                                                                                                      
ckarama; acción de cortar                                                                                                                                                                             
ckaranti; nombre de un lugar cerca de socaire                                                                                                                                                         
ckarao; costilla                                                                                                                                                                                      
ckaratchi; viruelas                                                                                                                                                                                   
ckaratur; cortar, quebrar                                                                                                                                                                             
ckarayin; acostarse de lado (cfr ckarao)                                                                                                                                                              
ckari; nuevo, verde                                                                                                                                                                                   
ckarickstur; escarcha                                                                                                                                                                                 
