;Emoji;Cantidad;Para_busqueda
0;[eggplant];21;eggplant
1;[pinched_fingers];96;pinched fingers
2;[folded_hands_light_skin_tone];107;folded hands light skin tone
3;[man_facepalming_light_skin_tone];737;man facepalming light skin tone
4;[fish];211;fish
5;[zany_face];373;zany face
6;[face_with_tears_of_joy];10461;face with tears of joy
7;[face_with_open_mouth];54;face with open mouth
8;[blue_circle];407;blue circle
9;[pile_of_poo];1941;pile of poo
10;[face_holding_back_tears];166;face holding back tears
11;[handshake];72;handshake
12;[euro_banknote];5;euro banknote
13;[backhand_index_pointing_right_light_skin_tone];110;backhand index pointing right light skin tone
14;[cross_mark];385;cross mark
15;[rolling_on_the_floor_laughing];15912;rolling on the floor laughing
16;[grimacing_face];436;grimacing face
17;[face_without_mouth];52;face without mouth
18;[clapping_hands];4430;clapping hands
19;[winking_face];1258;winking face
20;[backhand_index_pointing_down_light_skin_tone];342;backhand index pointing down light skin tone
21;[face_with_rolling_eyes];1448;face with rolling eyes
22;[thinking_face];2237;thinking face
23;[grinning_face_with_sweat];1325;grinning face with sweat
24;[bell];41;bell
25;[deciduous_tree];1950;deciduous tree
26;[mushroom];366;mushroom
27;[smiling_face_with_tear];150;smiling face with tear
28;[Chile];26133;Chile
29;[round_pushpin];447;round pushpin
30;[writing_hand];464;writing hand
31;[loudly_crying_face];584;loudly crying face
32;[speaker_high_volume];47;speaker high volume
33;[confused_face];42;confused face
34;[man_shrugging_light_skin_tone];568;man shrugging light skin tone
35;[face_with_steam_from_nose];103;face with steam from nose
36;[angry_face];206;angry face
37;[clown_face];3897;clown face
38;[red_heart];3781;red heart
39;[pushpin];389;pushpin
40;[heart_exclamation];77;heart exclamation
41;[face_vomiting];1614;face vomiting
42;[smiling_face_with_halo];84;smiling face with halo
43;[keycap_4];29;keycap 4
44;[keycap_5];21;keycap 5
45;[check_mark_button];1175;check mark button
46;[thumbs_down];306;thumbs down
47;[pouting_face];1433;pouting face
48;[woman_raising_hand];142;woman raising hand
49;[woman_facepalming];544;woman facepalming
50;[money_bag];224;money bag
51;[alien];51;alien
52;[woman_facepalming_light_skin_tone];543;woman facepalming light skin tone
53;[folded_hands];790;folded hands
54;[red_circle];1942;red circle
55;[waving_hand];484;waving hand
56;[smiling_face_with_smiling_eyes];608;smiling face with smiling eyes
57;[man_raising_hand_light_skin_tone];37;man raising hand light skin tone
58;[grinning_squinting_face];852;grinning squinting face
59;[sunflower];278;sunflower
60;[rainbow];393;rainbow
61;[small_airplane];2;small airplane
62;[Argentina];74;Argentina
63;[raising_hands];571;raising hands
64;[kissing_face_with_closed_eyes];21;kissing face with closed eyes
65;[flexed_biceps];4072;flexed biceps
66;[winking_face_with_tongue];300;winking face with tongue
67;[lying_face];250;lying face
68;[face_with_spiral_eyes];148;face with spiral eyes
69;[woozy_face];283;woozy face
70;[pinching_hand_light_skin_tone];7;pinching hand light skin tone
71;[OK_hand_medium_skin_tone];28;OK hand medium skin tone
72;[studio_microphone];579;studio microphone
73;[thumbs_up];3195;thumbs up
74;[face_with_raised_eyebrow];221;face with raised eyebrow
75;[middle_finger_light_skin_tone];27;middle finger light skin tone
76;[smiling_face_with_open_hands];540;smiling face with open hands
77;[rat];164;rat
78;[man_facepalming];895;man facepalming
79;[person_facepalming];828;person facepalming
80;[bar_chart];76;bar chart
81;[link];127;link
82;[right_arrow_curving_down];63;right arrow curving down
83;[slightly_smiling_face];195;slightly smiling face
84;[right_arrow];754;right arrow
85;[backhand_index_pointing_down];3459;backhand index pointing down
86;[face_blowing_a_kiss];394;face blowing a kiss
87;[victory_hand];435;victory hand
88;[triangular_flag];89;triangular flag
89;[recycling_symbol];22;recycling symbol
90;[shark];5;shark
91;[eye];346;eye
92;[heart_suit];810;heart suit
93;[grinning_face];322;grinning face
94;[hot_pepper];869;hot pepper
95;[double_exclamation_mark];1174;double exclamation mark
96;[circus_tent];114;circus tent
97;[thumbs_up_light_skin_tone];264;thumbs up light skin tone
98;[sneezing_face];22;sneezing face
99;[disappointed_face];121;disappointed face
100;[sad_but_relieved_face];81;sad but relieved face
101;[nauseated_face];398;nauseated face
102;[eyes];745;eyes
103;[face_with_diagonal_mouth];30;face with diagonal mouth
104;[smiling_face_with_hearts];968;smiling face with hearts
105;[headphone];190;headphone
106;[megaphone];326;megaphone
107;[face_with_symbols_on_mouth];708;face with symbols on mouth
108;[up_arrow];52;up arrow
109;[down_arrow];421;down arrow
110;[chart_decreasing];54;chart decreasing
111;[chart_increasing];73;chart increasing
112;[beaming_face_with_smiling_eyes];953;beaming face with smiling eyes
113;[grinning_face_with_smiling_eyes];415;grinning face with smiling eyes
114;[pensive_face];245;pensive face
115;[bomb];53;bomb
116;[stopwatch];40;stopwatch
117;[police_car_light];549;police car light
118;[old_woman];10;old woman
119;[skull_and_crossbones];102;skull and crossbones
120;[coffin];32;coffin
121;[face_with_thermometer];2;face with thermometer
122;[pleading_face];236;pleading face
123;[mosquito];1;mosquito
124;[weary_face];156;weary face
125;[flushed_face];280;flushed face
126;[smiling_face];297;smiling face
127;[Ukraine];14;Ukraine
128;[crying_face];124;crying face
129;[expressionless_face];97;expressionless face
130;[rose];210;rose
131;[yellow_circle];58;yellow circle
132;[green_circle];174;green circle
133;[blue_book];232;blue book
134;[man_shrugging_medium_skin_tone];129;man shrugging medium skin tone
135;[black_circle];29;black circle
136;[white_circle];159;white circle
137;[ballot_box_with_ballot];971;ballot box with ballot
138;[anger_symbol];4;anger symbol
139;[television];455;television
140;[face_savoring_food];79;face savoring food
141;[unamused_face];217;unamused face
142;[person_shrugging];325;person shrugging
143;[black_small_square];49;black small square
144;[ghost];46;ghost
145;[collision];155;collision
146;[orange_circle];144;orange circle
147;[telephone_receiver];6;telephone receiver
148;[backhand_index_pointing_right];1498;backhand index pointing right
149;[rainbow_flag];125;rainbow flag
150;[broccoli];30;broccoli
151;[pill];13;pill
152;[green_heart];535;green heart
153;[musical_note];182;musical note
154;[face_with_monocle];350;face with monocle
155;[relieved_face];312;relieved face
156;[index_pointing_up];240;index pointing up
157;[sparkling_heart];262;sparkling heart
158;[baby];15;baby
159;[man];7;man
160;[check_mark];244;check mark
161;[woman_shrugging_light_skin_tone];289;woman shrugging light skin tone
162;[China];12;China
163;[face_screaming_in_fear];464;face screaming in fear
164;[anxious_face_with_sweat];51;anxious face with sweat
165;[OK_hand_light_skin_tone];127;OK hand light skin tone
166;[nose];3;nose
167;[OK_hand];639;OK hand
168;[waving_hand_light_skin_tone];20;waving hand light skin tone
169;[grinning_face_with_big_eyes];309;grinning face with big eyes
170;[film_projector];43;film projector
171;[flexed_biceps_light_skin_tone];414;flexed biceps light skin tone
172;[raised_fist];1221;raised fist
173;[fire];694;fire
174;[red_question_mark];178;red question mark
175;[face_with_hand_over_mouth];902;face with hand over mouth
176;[pen];23;pen
177;[laptop];102;laptop
178;[thread];247;thread
179;[index_pointing_up_light_skin_tone];30;index pointing up light skin tone
180;[broken_heart];108;broken heart
181;[cat];24;cat
182;[rabbit];10;rabbit
183;[backhand_index_pointing_left];66;backhand index pointing left
184;[smirking_face];306;smirking face
185;[man_shrugging];460;man shrugging
186;[keycap_2];46;keycap 2
187;[small_blue_diamond];219;small blue diamond
188;[ogre];55;ogre
189;[sparkles];742;sparkles
190;[astonished_face];81;astonished face
191;[dragon];6;dragon
192;[white_heart];79;white heart
193;[backhand_index_pointing_down_medium_skin_tone];228;backhand index pointing down medium skin tone
194;[partying_face];222;partying face
195;[mouse_face];15;mouse face
196;[persevering_face];23;persevering face
197;[raising_hands_light_skin_tone];197;raising hands light skin tone
198;[face_with_open_eyes_and_hand_over_mouth];60;face with open eyes and hand over mouth
199;[musical_notes];568;musical notes
200;[newspaper];134;newspaper
201;[speech_balloon];104;speech balloon
202;[magnifying_glass_tilted_left];55;magnifying glass tilted left
203;[dollar_banknote];65;dollar banknote
204;[soccer_ball];66;soccer ball
205;[smiling_face_with_sunglasses];669;smiling face with sunglasses
206;[performing_arts];24;performing arts
207;[exploding_head];107;exploding head
208;[globe_showing_Americas];148;globe showing Americas
209;[confounded_face];86;confounded face
210;[oncoming_fist];439;oncoming fist
211;[blue_heart];248;blue heart
212;[frowning_face];45;frowning face
213;[woman_dancing];102;woman dancing
214;[person_facepalming_light_skin_tone];158;person facepalming light skin tone
215;[brain];89;brain
216;[melting_face];140;melting face
217;[syringe];35;syringe
218;[pencil];76;pencil
219;[palm_tree];6;palm tree
220;[satellite_antenna];239;satellite antenna
221;[Russia];12;Russia
222;[woman_raising_hand_light_skin_tone];76;woman raising hand light skin tone
223;[middle_finger];140;middle finger
224;[raised_fist_medium_skin_tone];227;raised fist medium skin tone
225;[hundred_points];341;hundred points
226;[neutral_face];87;neutral face
227;[wine_glass];49;wine glass
228;[money_with_wings];57;money with wings
229;[yawning_face];88;yawning face
230;[spiral_shell];9;spiral shell
231;[crossed_swords];16;crossed swords
232;[hot_beverage];139;hot beverage
233;[exclamation_question_mark];88;exclamation question mark
234;[man_raising_hand];56;man raising hand
235;[red_exclamation_mark];215;red exclamation mark
236;[clapping_hands_light_skin_tone];651;clapping hands light skin tone
237;[loudspeaker];461;loudspeaker
238;[heart_hands];106;heart hands
239;[Italy];10;Italy
240;[Spain];21;Spain
241;[Venezuela];93;Venezuela
242;[Colombia];43;Colombia
243;[angry_face_with_horns];45;angry face with horns
244;[monkey];82;monkey
245;[person_gesturing_OK];14;person gesturing OK
246;[Cuba];43;Cuba
247;[man_facepalming_medium_skin_tone];111;man facepalming medium skin tone
248;[speaking_head];259;speaking head
249;[watch];89;watch
250;[1st_place_medal];6;1st place medal
251;[graduation_cap];5;graduation cap
252;[minus];26;minus
253;[axe];224;axe
254;[worried_face];30;worried face
255;[hand_with_fingers_splayed_light_skin_tone];42;hand with fingers splayed light skin tone
256;[pinched_fingers_light_skin_tone];22;pinched fingers light skin tone
257;[place_of_worship];8;place of worship
258;[raised_hand];20;raised hand
259;[United_Kingdom];7;United Kingdom
260;[United_States];57;United States
261;[purple_circle];119;purple circle
262;[elephant];1;elephant
263;[movie_camera];141;movie camera
264;[beating_heart];55;beating heart
265;[radio];250;radio
266;[trumpet];16;trumpet
267;[drum];24;drum
268;[violin];4;violin
269;[play_button];209;play button
270;[yellow_heart];170;yellow heart
271;[cup_with_straw];3;cup with straw
272;[coconut];2;coconut
273;[man_swimming];1;man swimming
274;[desert_island];3;desert island
275;[Statue_of_Liberty];20;Statue of Liberty
276;[department_store];2;department store
277;[tulip];77;tulip
278;[bouquet];46;bouquet
279;[no_one_under_eighteen];5;no one under eighteen
280;[person_facepalming_medium_skin_tone];52;person facepalming medium skin tone
281;[mage];4;mage
282;[backhand_index_pointing_up];64;backhand index pointing up
283;[backhand_index_pointing_left_light_skin_tone];14;backhand index pointing left light skin tone
284;[church];10;church
285;[squinting_face_with_tongue];233;squinting face with tongue
286;[black_heart];68;black heart
287;[snake];24;snake
288;[oncoming_fist_light_skin_tone];44;oncoming fist light skin tone
289;[peach];24;peach
