;Emoji;Cantidad;Muestra
0;[eggplant];21;🍆
1;[pinched_fingers];96;🤌
2;[folded_hands_light_skin_tone];107;🙏🏻
3;[man_facepalming_light_skin_tone];737;🤦🏻‍♂️
4;[fish];211;🐟
5;[zany_face];373;🤪
6;[face_with_tears_of_joy];10461;😂
7;[face_with_open_mouth];54;😮
8;[blue_circle];407;🔵
9;[pile_of_poo];1941;💩
10;[face_holding_back_tears];166;🥹
11;[handshake];72;🤝
12;[euro_banknote];5;💶
13;[backhand_index_pointing_right_light_skin_tone];110;👉🏻
14;[cross_mark];385;❌
15;[rolling_on_the_floor_laughing];15912;🤣
16;[grimacing_face];436;😬
17;[face_without_mouth];52;😶
18;[clapping_hands];4430;👏
19;[winking_face];1258;😉
20;[backhand_index_pointing_down_light_skin_tone];342;👇🏻
21;[face_with_rolling_eyes];1448;🙄
22;[thinking_face];2237;🤔
23;[grinning_face_with_sweat];1325;😅
24;[bell];41;🔔
25;[deciduous_tree];1950;🌳
26;[mushroom];366;🍄
27;[smiling_face_with_tear];150;🥲
28;[Chile];26138;🇨🇱
29;[round_pushpin];447;📍
30;[writing_hand];464;✍️
31;[loudly_crying_face];584;😭
32;[speaker_high_volume];47;🔊
33;[confused_face];42;😕
34;[man_shrugging_light_skin_tone];568;🤷🏻‍♂️
35;[face_with_steam_from_nose];103;😤
36;[angry_face];206;😠
37;[clown_face];3897;🤡
38;[red_heart];3781;❤️
39;[pushpin];389;📌
40;[heart_exclamation];77;❣️
41;[face_vomiting];1614;🤮
42;[smiling_face_with_halo];84;😇
43;[keycap_4];29;4️⃣
44;[keycap_5];21;5️⃣
45;[check_mark_button];1175;✅
46;[thumbs_down];306;👎
47;[pouting_face];1433;😡
48;[woman_raising_hand];142;🙋‍♀️
49;[woman_facepalming];544;🤦‍♀️
50;[money_bag];224;💰
51;[alien];51;👽
52;[woman_facepalming_light_skin_tone];543;🤦🏻‍♀️
53;[folded_hands];790;🙏
54;[red_circle];1942;🔴
55;[waving_hand];484;👋
56;[smiling_face_with_smiling_eyes];608;😊
