IdDominio,Texto,IdLengua,Texto,IdRasgo,Texto,IdValorRasgo,Texto
2,Evidencialidad,1,Mapudungun,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,2,Quechua Ancash,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,4,Quechua Ecuatoriano,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,5,Quechua Ayacuchano,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,7,Aymara Sureno,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,8,Jaqaru,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,9,Chipaya,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,10,Uchumataqu,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,11,Cholon,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,12,Mochica,1,Codificación de la evidencialidad,1,Sin evidenciales gramaticalizados
2,Evidencialidad,17,Yagan,1,Codificación de la evidencialidad,1,Sin evidenciales gramaticalizados
2,Evidencialidad,19,Toba,1,Codificación de la evidencialidad,1,Sin evidenciales gramaticalizados
2,Evidencialidad,19,Toba,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,20,Mocovi,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,21,Pilaga,1,Codificación de la evidencialidad,1,Sin evidenciales gramaticalizados
2,Evidencialidad,22,Nivacle,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,23,Wichi,1,Codificación de la evidencialidad,3,Parte del sistema temporal
2,Evidencialidad,25,Ayoreo,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,26,Tapiete,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,27,Kawesqar,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,28,Tehuelche,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,29,Secoya,1,Codificación de la evidencialidad,2,Afijo o clitico verbal
2,Evidencialidad,29,Secoya,1,Codificación de la evidencialidad,3,Parte del sistema temporal
2,Evidencialidad,30,Urarina,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,31,Ocaina,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,32,Reyesano,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,35,Yanesha,1,Codificación de la evidencialidad,4,Particula separada
2,Evidencialidad,36,Tariana,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,37,Tucano,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,38,Quechua de Huallaga,1,Codificación de la evidencialidad,6,Sistemas mixtos
2,Evidencialidad,61,Trumai,1,Codificación de la evidencialidad,4,Particula separada
3,Estructura Argumental ,1,Mapudungun,3,Alineamiento intransitivo transitivo,6,nom-acc con jerarquía
3,Estructura Argumental ,1,Mapudungun,4,Alineamiento transitivo ditransitivo,5,secundativo con jerarquía
3,Estructura Argumental ,1,Mapudungun,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,1,Mapudungun,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,1,Mapudungun,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,1,Mapudungun,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,1,Mapudungun,10,Codificación de T,1,sin marca
3,Estructura Argumental ,1,Mapudungun,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,1,Mapudungun,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,1,Mapudungun,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,1,Mapudungun,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,1,Mapudungun,1,Codificación de A en el sustantivo ,2,Sin marca
3,Estructura Argumental ,1,Mapudungun,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,1,Mapudungun,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,1,Mapudungun,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,1,Mapudungun,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,2,Quechua Ancash,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,2,Quechua Ancash,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,2,Quechua Ancash,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,2,Quechua Ancash,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,2,Quechua Ancash,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,2,Quechua Ancash,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,2,Quechua Ancash,10,Codificación de T,1,sin marca
3,Estructura Argumental ,2,Quechua Ancash,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,2,Quechua Ancash,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,2,Quechua Ancash,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,2,Quechua Ancash,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,2,Quechua Ancash,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,2,Quechua Ancash,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,2,Quechua Ancash,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,2,Quechua Ancash,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,2,Quechua Ancash,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,3,Quechua de Cajamarca,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,3,Quechua de Cajamarca,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,3,Quechua de Cajamarca,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,10,Codificación de T,1,sin marca
3,Estructura Argumental ,3,Quechua de Cajamarca,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,3,Quechua de Cajamarca,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,3,Quechua de Cajamarca,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,3,Quechua de Cajamarca,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,3,Quechua de Cajamarca,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,3,Quechua de Cajamarca,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,3,Quechua de Cajamarca,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,4,Quechua Ecuatoriano,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,4,Quechua Ecuatoriano,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,4,Quechua Ecuatoriano,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,10,Codificación de T,1,sin marca
3,Estructura Argumental ,4,Quechua Ecuatoriano,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,4,Quechua Ecuatoriano,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,4,Quechua Ecuatoriano,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,4,Quechua Ecuatoriano,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,4,Quechua Ecuatoriano,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,4,Quechua Ecuatoriano,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,4,Quechua Ecuatoriano,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,5,Quechua Ayacuchano,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,5,Quechua Ayacuchano,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,5,Quechua Ayacuchano,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,10,Codificación de T,1,sin marca
3,Estructura Argumental ,5,Quechua Ayacuchano,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,5,Quechua Ayacuchano,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,5,Quechua Ayacuchano,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,5,Quechua Ayacuchano,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,5,Quechua Ayacuchano,14,Codificación de P en el sustantivo ,1,Marca de caso
3,Estructura Argumental ,5,Quechua Ayacuchano,15,Marcación de T en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,5,Quechua Ayacuchano,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,7,Aymara Sureno,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,7,Aymara Sureno,5,fusión de argumentos,1,fusión
3,Estructura Argumental ,7,Aymara Sureno,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,9,Codificación de P ,1,Sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,10,Codificación de T,1,sin marca
3,Estructura Argumental ,7,Aymara Sureno,11,Codificación de R,1,sufijo verbal
3,Estructura Argumental ,7,Aymara Sureno,12,alineamiento intransitivo-transitivo (flaggi),2,nom-acc
3,Estructura Argumental ,7,Aymara Sureno,13,alineamiento transitivo-ditransitivo (flaggi),2,indirectivo
3,Estructura Argumental ,7,Aymara Sureno,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,7,Aymara Sureno,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,7,Aymara Sureno,14,Codificación de P en el sustantivo ,1,Marca de caso
