;Palabra;Glosa
0;pieyew;pi-e-y-ew
1;dulliaiñ;dulli-a-iñ
2;pewma;pewma
3;pepakelaen;pe-pa-ke-la-e-n
4;pekefin;pe-ke-fi-n
5;utrukunungeael;utru-kunu-nge-a-el
6;yufuwe;yufu-we
7;lladkürumey;lladkü-rume-y
8;viejita;viejita
9;ponwi;ponwi
10;mülekefulu;müle-ke-fu-lu
11;weñeñmangey;weñe-ñma-nge-y
12;punotuyawleiñ;puno-tu-yaw-le-iñ
13;ramtukefun;ramtu-ke-fu-n
14;pellkeley;pellke-le-y
15;yafutunge;yafutu-nge
16;küdawtun;küdaw-tu-n
17;tukungey;tuku-nge-y
18;putokoael;putoko-a-el
19;ponwitu;ponwitu
20;llamada;llamada
21;kisulekaafuy;kisu-le-ka-a-fu-y
22;pelicula;pelicula
23;wekufu;wekufu
24;agarre;agarr-e
25;pichiwentrulu;pichi-wentru-lu
26;kutranküleymu;kutran-küle-ymu
27;nerüng;nerüng
28;nakümngeael;naküm-nge-a-el
29;küdawkelay;küdaw-ke-la-y
30;utrukunungen;utru-kunu-nge-n
31;küpangillatulmi;küpa-ngilla-tu-l-mi
32;trukungelay;truku-nge-la-y
33;mamita;mamita
34;warangka;warangka
35;kuñiwtuküley;kuñiw-tu-küle-y
36;kellukeyngün;kellu-ke-y-ngün
37;ingkanien;ingka-nie-n
38;yemeael;ye-me-a-el
39;kintuael;kintu-a-el
40;ayefun;aye-fu-n
41;hola;hola
42;decia;decia
43;angkümkey;angk-üm-ke-y
44;weñengepay;weñe-nge-pa-y
45;chodkülele;chod-küle-l-e
46;y;-y
47;llellipukefuy;llellipu-ke-fu-y
48;pieliyu;pi-e-l-i-yu
49;amuy;amu-y
50;ngümanoael;ngüma-no-a-el
51;kudulu;kudu-lu
52;sopaipilla;sopaipilla
53;yenieetew;ye-nie-e-t-ew
54;rupalimün;rupa-li-mün
55;koyla;koyla
56;nentutuy;nentu-tu-y
57;femürkeymün;fem-ürke-ymün
58;fam;fam
59;elfimi;el-fi-mi
60;kutranchewi;kutran-che-w-i
61;füchachengey;fücha-che-nge-y
62;pikunuy;pi-kunu-y
63;poyengen;poye-nge-n
64;yeniekey;ye-nie-ke-y
65;parte;parte
66;amutunge;amu-tu-nge
67;wirarkey;wira-rke-y
68;ramtukayafuel;ramtu-ka-ya-fu-el
69;kuntawküley;kuntaw-küle-y
70;utru;utru-
71;reyilu;reyi-lu
72;angümelngekefuy;angüm-el-nge-ke-fu-y
73;chemngelay;chem-nge-la-y
74;chumngen;chum-nge-n
75;wallowallotuy;wallo-wallo-tu-y
76;pifin;pi-fi-n
77;dungukelafin;dungu-ke-la-fi-n
78;tuchi;tu-chi
79;palabra;palabra
80;komunikacion;komunikacion
81;piyawkeyngün;pi-yaw-ke-y-ngün
82;chumngechiley;chumngechi-le-y
83;longko;longko
84;kimpalaymi;kim-pa-la-ymi
85;faytun;faytun
86;yewael;ye-w-a-el
87;vecina;vecina
88;materia;materia
89;nütramkakefiel;nütramka-ke-fi-el
90;anutukungekey;anu-tuku-nge-ke-y
91;piel;piel
92;pepilkalu;pepi-l-ka-lu
93;pingenoalu;pi-nge-no-a-lu
94;puralu;pura-lu
95;witrafiy;witra-fi-y
96;amulkeafimün;amu-l-ke-a-fi-mün
97;amuafuyngün;amu-a-fu-y-ngün
98;dungukeymün;dungu-ke-ymün
99;ayun;ayu-n
100;dungukelay;dungu-ke-la-y
101;miyawlafin;miyaw-la-fi-n
102;weftule;wef-tu-l-e
103;nütramkayayu;nütramka-ya-yu
104;wemunentuy;wemun-entu-y
105;nagi;nag-i
106;wiñotun;wiño-tu-n
107;koylatuy;koyla-tu-y
108;adumuluwün;adumu-lu-w-ün
109;dewmameken;dewma-meke-n
110;ngünen;ngüne-n
111;mapudungulay;mapudungu-la-y
112;ngillalay;ngilla-la-y
113;papeltulayaiñ;papel-tu-la-ya-iñ
114;nuyulu;nuyu-lu
115;almacen;almacen
116;feypikeymün;fey-pi-ke-ymün
117;penka;penka
118;nielimi;nie-l-imi
119;gas;gas
120;kañpüle;kañ-püle
121;estudian;estudia-n
122;kuden;kude-n
123;ngillameyu;ngilla-me-yu
124;pengelnielu;pe-nge-l-nie-lu
125;llikalkaenew;llika-l-ka-e-n-ew
126;küpakonle;küpa-kon-l-e
127;rakiduamliñ;rakiduam-l-iñ
128;tripapay;tripa-pa-y
129;felepaymi;fele-pa-ymi
130;fali;fal-i
131;pe;pe-
132;trananagaiñ;trana-nag-a-iñ
133;tuntungen;tun-tu-nge-n
134;dewmangey;dewma-nge-y
135;mongetuy;monge-tu-y
136;adtukukunuenew;ad-tuku-kunu-e-n-ew
137;mapuchewen;mapuche-wen
138;weñche;weñche
139;pultrunngekefuy;pultrun-nge-ke-fu-y
140;cir;cir
141;tripael;tripa-el
142;wedwedkalekafiel;wedwed-ka-le-ka-fi-el
143;baño;baño
144;felix;felix
145;pikefueyñmew;pi-ke-fu-e-yñ-mew
146;puwyu;puw-yu
147;ngenolu;ngen-o-lu
148;ngülakeymün;ngüla-ke-ymün
149;pamulongkoleymi;pamu-longko-le-ymi
150;pipingelayaymi;pi-pi-nge-la-ya-ymi
151;dewmay;dewma-y
152;awkan;awka-n
153;lupümpuyngün;lup-üm-pu-y-ngün
154;yewün;yewün
155;mapuchengen;mapuche-nge-n
156;mapuchekechiley;mapuche-kechi-le-y
157;ülmenkantungelaiñ;ülmen-kantu-nge-la-iñ
158;ngewelayay;nge-we-la-ya-y
159;femkelay;fem-ke-la-y
160;katrungekefuy;katru-nge-ke-fu-y
161;faliwelay;fali-we-la-y
162;entretencion;entretencio-n
163;chumpapeymi;chum-pa-pe-ymi
164;püllü;püllü
165;tripaiñ;tripa-iñ
166;pichidomongelu;pichi-domo-nge-lu
167;pingekelu;pi-nge-ke-lu
168;wa;wa-
169;akutukey;aku-tu-ke-y
170;wiya;wiya
171;panguilef;panguilef
172;konfuy;kon-fu-y
173;peñiyefiiñ;peñi-ye-fi-iñ
174;adumtukelay;adum-tu-ke-la-y
175;pobreleyngün;pobre-le-y-ngün
176;wichakefuy;wicha-ke-fu-y
177;adumwi;adum-w-i
178;rupakefun;rupa-ke-fu-n
179;apümafin;apü-m-a-fi-n
180;puwtun;puw-tu-n
181;puran;pura-n
182;piafenew;pi-a-f-e-n-ew
183;yeniele;ye-nie-l-e
184;luku;luku
185;piwkefun;pi-w-ke-fu-n
186;katruam;katru-a-m
187;in;i-n
188;rupayael;rupa-ya-el
189;ülkey;ü-l-ke-y
190;lefkülen;lef-küle-n
191;küyen;küyen
192;nuyuy;nuyu-y
193;ayekelay;aye-ke-la-y
194;ülkantuan;ülkantu-a-n
195;elulmi;elu-l-mi
196;kümelen;küme-le-n
197;feypipeenew;fey-pi-pe-e-n-ew
198;kimdungun;kim-dungu-n
199;ñañañañ;ñañañañ
200;inaramtun;ina-ramtu-n
201;allkütumekey;allkü-tu-meke-y
202;davincho;davincho
203;chumngeafuy;chum-nge-a-fu-y
204;amutuay;amu-tu-a-y
205;m;-m
206;lleno;lleno
207;tremel;trem-el
208;kelulele;kelu-le-l-e
209;ramtupaenew;ramtu-pa-e-n-ew
210;kure;kure
211;katruken;katru-ke-n
212;kuadra;kuadra
213;amulele;amu-le-l-e
214;tüfeychi;tüfey-chi
215;rakiduam;rakiduam-
216;presidente;presidente
217;pelantaro;pelantaro
218;pemeafiel;pe-me-a-fi-el
219;nnofilu;nno-fi-lu
220;kimelngeyngün;kimel-nge-y-ngün
221;ngedufkelaymün;ngeduf-ke-la-ymün
222;wingkakechileiñ;wingka-kechi-le-iñ
223;yall;yall
224;nagadkintun;nag-adkintu-n
225;niekeymün;nie-ke-ymün
226;kütralwe;kütral-we
227;mapuchengelimün;mapuche-nge-li-mün
228;kelulechi;kelu-le-chi
229;urkun;urku-n
230;wangku;wangku
231;karote;karote
232;kimelfiiñ;kimel-fi-iñ
233;penole;pe-no-l-e
234;tukuken;tuku-ke-n
235;ramtuy;ramtu-y
236;segundo;segundo
237;külfü;külfü
238;tutelay;tute-la-y
239;adumay;adum-a-y
240;amulwetulay;amu-l-we-tu-la-y
241;semaforo;semaforo
242;wedalkaley;weda-l-ka-le-y
243;verano;verano
244;wesha;wesha
245;ayefiiñ;aye-fi-iñ
246;tripakefiy;tripa-ke-fi-y
247;golpe;golpe
248;santa;santa
249;nielmi;nie-l-mi
250;femkefuy;fem-ke-fu-y
251;adumülngekefuiñ;adum-ül-nge-ke-fu-iñ
252;mapun;mapu-n
253;pikellen;pi-ke-lle-n
254;lloftumealu;lloftu-me-a-lu
255;mucho;mucho
256;progreso;progreso
257;sobrino;sobrino
258;wullu;wul-lu
259;adkunukey;ad-kunu-ke-y
260;chaftulu;chaf-tu-lu
261;e;e
262;nieñmuan;nie-ñmu-a-n
263;ilotukangeael;ilo-tu-ka-nge-a-el
264;feychiwe;fey-chi-we
265;cosa;cosa
266;kimchefelu;kim-che-fe-lu
267;ilay;i-la-y
268;vilu;vilu
269;tukelafuy;tu-ke-la-fu-y
270;kuse;kuse
271;llikayngün;llika-y-ngün
272;dewmaiñ;dewma-iñ
273;fantepuy;fante-pu-y
274;kuydayawkey;kuyda-yaw-ke-y
275;mülepeyu;müle-pe-yu
276;dewma;dewma
277;nentuafuy;nentu-a-fu-y
278;alofküley;alof-küle-y
279;kintuyawlfiy;kintu-yaw-l-fi-y
280;wedozkünungekey;wedoz-künu-nge-ke-y
281;bolivia;bolivia
