,palabra,segmentacion
0,Chumngechi,['chumngechi']
1,dullingekefuy,"['dulli','-nge','-ke','-fu','-y']"
2,chi,['chi']
3,pu,['pu']
4,mapuche,['mapuche']
5,kuyfi,['kuyfi']
6,fütrake,"['fütra','-ke']"
7,trawün,"['trawü','-n']"
8,mülekefuy,"['müle','-ke','-fu','-y']"
9,fütrake,"['fütra','-ke']"
10,trawün,"['trawü','-n']"
11,meli,['meli']
12,witran,['witran']
13,mapu,['mapu']
14,pingekefuy,"['pi','-nge','-ke','-fu','-y']"
15,ta,['ta']
16,trawün,"['trawü','-n']"
17,meli,['meli']
18,witran,['witran']
19,mapu,['mapu']
20,fey,['fey']
21,kom,['kom']
22,che,['che']
23,faw,['faw']
24,püle,['püle']
25,pingerkefuy,"['pi','-nge','-rke','-fu','-y']"
26,fey,['fey']
27,kom,['kom']
28,che,['che']
29,dungukefuy,"['dungu','-ke','-fu','-y']"
30,fey,['fey']
31,nentukey,"['nentu','-ke','-y']"
32,ñi,['ñi']
33,dungun,"['dungu','-n']"
34,engün,['engün']
35,fey,['fey']
36,wula,['wula']
37,fewla,['fewla']
38,wula,['wula']
39,kom,['kom']
40,che,['che']
41,dungulu,"['dungu','-lu']"
42,fey,['fey']
43,wula,['wula']
44,dulliaiñ,"['dulli','-a','-iñ']"
45,tañi,"['ta','-ñi']"
46,ñidol,['ñidol']
47,pikefuy,"['pi','-ke','-fu','-y']"
48,engün,['engün']
49,ka,['ka']
50,democraticamente,['democraticamente']
51,witra-n,"['witra','-n']"
52,puramkefuy,"['pura','-m','-ke','-fu','-y']"
53,ñi,['ñi']
54,dungu,['dungu']
55,engün,['engün']
56,nienolu,"['nie','-no','-lu']"
57,iñchiñ,['iñchiñ']
58,kay,['kay']
59,wirifengey,"['wiri','-fe','-nge','-y']"
60,kuyfi,['kuyfi']
61,democraticamente,['democraticamente']
62,pingey,"['pi','-nge','-y']"
63,rume,['rume']
64,feyentukefuy,"['feyentu','-ke','-fu','-y']"
65,ka,['ka']
66,chaf,['chaf']
67,mapuchewen,"['mapuche','-wen']"
