;Mapudungun;Traduccion
0;chumngechi chemngen külfüngen külfüngenon kom mülekefuyem noise ;como eran, sanos, o no sanos, había todos\n
1;inche ñichauni ñukeyem ;la finada madre de mi papa\n
2;fey feypikafuyem   parece  ;Y eso había dicho parece\n
3;pütakecheyem vey ka;los antiguos, y ademas \n
4;küme dungu nefuyem kichu engün ;tenian muy buenas cosas \n
5;tüfanewkefuyem veyta inchin;............., pero nosotros\n
6;veli veleyem peñi;Asi es, asi estoy hermano\n
7;uh lawen tueyem ta mapuche;al momento de tomar el remedio mapuche\n
8;kimngeyem lawen ;se conoce el remdio\n
9;veypiki inche tañi ñukeyem ;decia mi madre\n
10;ngañi ñukeyem ;.......mi madre\n
11;pero inche tañi ñukeyem ta femlafuy ;pero mi finada madre no le había pasado eso \n
12;uh entumeayem lawen ;cuando sacaba remedios\n
13;fayiyem yaguel ;para hacer fermentar\n\n
14;iyem he wechakunukiyu fayin;\n
15;pütra püñeñelchefeyem ;era una gran partera.\n
16;fey namun mu tripayem chem ürkechi;Eso en los pies sale como raro.\n
17;rume areyem kaloreayem ;cuando hace mucho calor, cuando se acalora.\n
18;tamien müli ñi kompangealkülen feyem ;También se debe acompañar con cualquier cosa.\n
19;kallfürayem machi ;Machi de florecer azúl.\n
20;inchiñ ta spaosea tañi kuyfikecheyem ta ;Nosotros, o sea   antiguamente nuestra gente\n
21;pingi tañiabueluyem ;Dicen de mi abuelito\n
22;tay kudeyem feyti;de edad ella \n
23;trafentuyem che;de que hacía trafentu la gente\n
24;tani ñukeyem cha;su finada madre \n
25;tañi ñukeyem inche   despue ;a mi madre yo después
26;fücha malleyem veyta veypikellevuy ;mi finado tío este no decía
27;pikevuy ta machi pikevuy taiñ füchakecheyem ;Decían la machi decía nuestros ancianos\n
28;chaweem inche ñi fücha malleyem ka ;finado padre yo mi anciano tío también\n
29;küpa ngütrüm yem engün tüfa mawün ;Tenía ganas de llamar ellos la lluvia\n
30;kümeleayem ka fenkefuy tüfi;para estar bien también hacía eso.\n 
31;mülekaki ngütramam amuyem ;hay también conversación que siguen\n
32;mongewe vendeyem ngülliw;para vivir vendo piñones\n
33;intukuyem kullin;Si comen los animales.\n 
34;ta ka pütakecheyem ta doy kimfuy;tambien los ancianos sabian antes.\n 
35;ka mongelelu ti pütake lonkoyem ;tambien estan vivo los Lideres \n
36;yem vey chemkenew veypikefin;esto debes hacer me decia\n
37;repetakefuy ñi papayem ;respetaba mi Papá\n
38;rume alüneyem kapa che lonkomew;Muchas hartas capas debe llevar la gente en la cabeza\n 
39;pafmuyem che;la gente que lleva el pasmo.\n
40;wellngeyem lawen ;No se lleva el remedio desparejo \n
41;ilelngeyem ;Lo comen.\n
42;ilelngeyem che ;Si le dan de comer a la persona\n
43;aliwen alin aliyem che kay;cuando la gente tiene fiebre\n
44;welu ngütramka ngeyem ;Pero en las conversaciones que llevavas \n
45;ngütramgeyem tüfipüle ;si es un aconversación por ahí\n
46;müleyem napor deumaymuken friñ napor;cuando hay yuyo, hago yuyo frito.\n
47;femngefel ta füchakecheyem  pu;Así eran los antiguos pues. \n
48;mapuche llemay fütra kuyfiche elkelafuy dunguyem ;El mapuche hace tiempo que ha dejado esta idea\n
49;ka feychi fallesey ñi fütayem ta ;también en ese entonces falleció mi esposo pues\n
50;tañi awelayem rume kimfuy lawenem fey;mi abuela sabía mucho de remedio\n
51;delikaungekenufulu  pu cheyem ;no eran delicado la persona\n
52;ka travoyem che ;también cuando se tritura la gente \n
53;trafoyem ;cuando se tritura \n
54;lüfiyem kay che ;Cuando se quema la gente \n
55;kiñekemu müñetuyem che ;Mucha veces cuando se baña la gente \n
56;koniyem ko ;cuando le entra agua \n
57;ñi kude abuelayem feypikefuy ;mi difunta vieja abuela decía  \n
58;feychi tiychi chod rayenngelu feyta chemkefuy tañi abuelayem  ;esa flor amarilla lo preparaba mi difunta abuela \n
59;kümepelafuyem ;Podria aver sido bueno \n
60;veyta pengepay ñi ñukeyem  faw ;ellos vieron mi madre aqui\n
61;ta trür ngelay tañi chemu tañi uh spaparte ñukeyem ngelay ;no es igual mi condicion parte madre no hay\n
62;adkiñtuwüyem mapuche ta kümey;cuando se miran los mapuches es bueno\n
63;tüfamu ta kürüfkauyem ;aquí cuando hay vientos\n
64;kümengetuayem ;para tener dias buenos\n
65;fey tüfamu ta rume ta kümetuyem ;entonces aquí cunado se mejoran los dias\n
66;fey tüfa ta weküfü ta trafngeyem ;Es cuando uno se encuentra con el diablo\n
67;llanküyem femngecki;cuando cae de esa forma.\n
68;spafueyem kuyfikecheyem ;los antiguos llevaban \n\n
69;mülefuyem kuyfi tüfa;que estaban antes estas\n
70;pikevuy taiñ abuelayem ;decía mi difunta abuela \n
71;tañi abuelayem ;mi difunta abuela \n
72;feyta piam spareserva indigenayem kuyfi ;así le decían reserva indigena antes \n
73;cerravemingün mekevuyem ;cerraron altiro \n
74;tüfachi boskeyem ;este el que era bosque \n
75;chemli mawayem chi kümengeay chi ;si llueve va a estar bueno eso \n
76;tañi ñukeyem müten ;Mi finada madre fue nomás.\n
77;ñukeyem felen amuluufun;mi madre fallecida, asi avance\n
78;kidu negaunuleyem ;si el no se huebiere negado\n
79;tami kutran pikevuy tañi ñukeyem ta inche ;tu enfermedad me decía mi finada madre.\n
80;vey tañi ñukeyem veypieyu noise uh;Entones mi madre le dijo,\n
81;tañi ñukeyem ka vemngechi lawen;Mi finada madre también esa misma clase de remedio,\n
82;ka ñi fütacheyem ;también mis mayores\n
83;fütake che yem pikefuy nütramu ;las personas antiguas decían en las conversaciones. \n
84;müley ñi kudeyem ta faltay ñi kude ;está mi vieja anciana pues, pero falta mi vieja.\n
85;setenta y tre niewi ñi kudeyem ;setanta y tres años tenía mi viejita.\n
86;pikefuy ñi fütake che yem ;decían mis antiguos.\n
87;eymün kutranyem kuyfi peñi;Ustedes se enfermaron antes hermano\n
88;tachi kuse machiyem ;de la anciana Machi fallecida\n
89;fey ta mongelmanew ñi kuse ñukeyem ;..me hizo aliviar mi anciana Madre fallecida\n
90;tañi kuse ñukeyem ;a mi anciana Madre fallecida\n
91;kiñe kuse ñukeyem ñi likan;la piedrecilla a la anciana Madre\n
92;tañi kuse ñukeyem  ;mi anciana Madre fallecida.\n
93;putulayan pifiñ kuse ñukeyem ;no tomare le dije a mi anciana Madre\n
94;chuchilekevel pütakecheyem ;como estaban los ancianos\n
95;vemi afluam pütakecheyem ;si terminaron los ancianos\n
96;kuyfikecheyem aftuy ;los ancianos antiguo se acabo\n
97;ta ptakecheyem tañi kimün;es la sabiduria de los ancianos\n
98;antikuo cheyem aflu ;persona Antigua se termino \n
99;vantenmu finkanunmu ñi pu antikuo cheyem ;en este momento al no aumentar mi persona antiguo\n
100;aflu nga ñi noise nga ñi pucheyem cheyem ;si cuando llego, llego a terminar mi gente \n
101;noise pütakecheyem nga ñi kimün ;el conocimiento de los ancianos \n 
