;Mapudungun;Traduccion
0; küpa umawki ;
1; küpa umawfel ;
2; küpa spaclaro ;
3; küpa tripalen ;
4; küpa dewmakevun ;
5; küpa ilotuvun ;
6; küpa mongeleymuy ;
7; küpa mongelellimayuh ;
8; küpa niewelay ;
9; küpa niewelay ;
10; küpa niewelay ;
11; küpa nietule ;
12; küpa nietule ;
13; küpa mandangelan ;
14; küpa mandangelay ;
15; küpa lawentulmi ;
16; küpa amukelan ;
17; küpa chipale ;
18; küpa kinfun ;
19; küpa umawtule ;
20; küpa entregaukelan ;
21; küpa entregaukelan ;
22; küpa amukelan ;
23; küpa nentumetufi ;
24; küpa kimnielay ;
25; küpa inmuken ;
26; küpa kimnienkay ;
27; küpa entunole ;
28; küpa llikay ;
29; küpa mapuche ;
30; küpa machingelu ;
31; küpa chemlen ;
32; küpa feypilay ;
33; küpa feypilelay ;
34; küpa feypilay ;
35; küpa kimnolu ;
36; küpa inaduamlay ;
37; küpa ileymuy ;
38; küpa rapiki ;
39; küpa rapiki ;
40; küpa rapiki ;
41; küpa rapiki ;
42; küpa williyem ;
43; küpa nielenga ;
44; küpa kimfun ;
45; küpa puulen ;
46; küpa amuchi ;
47; küpa maweli ;
48; küpa putulaymi ;
49; küpa putulan ;
50; küpa rapivun ;
51; küpa rupavun ;
52; küpa kultruntullefuli ;
53; küpa eluniengelu ;
54; küpa ilotuy ;
55; küpa adumlu ;
56; küpa kimken ;
57; küpa iwelafun ;
58; küpa kompatun ;
59; küpa ifuymi ;
60; küpa lawentukungi ;
61; küpa rapilelumu ;
62; küpa niewenole ;
63; küpa maweliyem ;
64; küpa echuwewfile ;
65; küpa willile ;
66; küpa rapilen ;
67; küpa umawlu ;
68; küpa entunol ;
69; küpa kimluam ;
70; küpa ilotukelu ;
71; küpa tripaafun ;
72; küpa kutratripale ;
73; küpa chumlay ;
74; küpa kimwelay ;
75; küpa yegeyu ;
76; küpa wotrintumekevuyin ;
77; küpa chumngechi ;
78; küpa femfeymu ;
79; küpa tripawenolu ;
80; küpa mongelefuy ;
81; küpa mongelefuy ;
82; küpa mongelafin ;
83; küpa kimnefin ;
84; küpa dunguwetulay ;
85; küpa kimnolu ;
86; küpa kimniey ;
87; küpa liftuy ;
88; küpa ilafun ;
89; küpa pulkutulu ;
90; küpa niewenolu ;
91; küpa amutuen ;
92; küpa ayetuken ;
93; küpa lawentungekelan ;
94; küpa machilkevuy ;
95; küpa machingepe ;
96; küpa kansatun ;
97; küpa kansatu ;
98; küpa ikelan ;
99; küpa weflay ;
100; küpa wingka ;
101; küpa kimafuy ;
102; küpa rukawmulu ;
103; küpa tranalekelan ;
104; küpa tranalekelay ;
105; küpa tranalekelay ;
106; küpa tranakunuwki ;
107; küpa rapiki ;
108; küpa ikelay ;
109; küpa ikelay ;
110; küpa pewekelay ;
111; küpa irmeki ;
112; küpa ikelan ;
113; küpa rapiwetulan ;
114; küpa ikelay ;
115; küpa iwekelay ;
116; küpa rapilelan ;
117; küpa rapilewetulan ;
118; küpa amulepelan ;
119; küpa femuechi ;
120; küpa iwekelan ;
121; küpa iwekelaymi ;
122; küpa iymutuki ;
123; küpa iwenolu ;
124; küpa niafuy ;
125; küpa kimfaluukelafun ;
126; küpa kimfaluukelafun ;
127; küpa konkefun ;
128; küpa kakotun ;
129; küpa elueteu ;
130; küpa konpakelavuymi ;
131; küpa yetualimu ;
132; küpa amulimi ;
133; küpa iwelafin ;
134; küpa femngechi ;
135; küpa inayentuy ;
136; küpa ngoyiyin ;
137; küpa kimfuyngu ;
138; küpa niefulu ;
139; küpa ngachatukatuy ;
140; kupa amukelan ;
141; kupa nguyituyin ;
