;Mapudungun;Traduccion
; küpakimfufin ;
; küpa kimelken ;
; küpakimfufin ;
; küpakimfun ;
; küpa kankantufulmi ;
; küpa ilotun ;
; küpailosanchutufun ;
; küpa ufisatufun ;
; küpa kankanufisatufun ;
; küpa kazuelaachawalltun ;
; küpa iloachawalltun ;
; küpailotun ;
; küpadungun ;
; küpamachingen ;
; küpadoctorngen ;
;;
;;
; küpa kimwelaymi ;
;;
; küpacerezatulaymi ;
;;
;;
; küpa dewmakefun ;
;;
; küpa piafuy ;
; küpa kimimi ;
; küpa feypiy ;
; küpa feypin ;
; küpatrepelen ;
; küpa kimlay ;
; küpaadumwluael ;
; küpa chumngechi ;
; küpa chillkan ;
; küpakimnien ;
; küpa kimniekefuy ;
; küpakimmapudunguay ;
;;
; küpa tripalu ;
;;
; küpakatrulu ;
; küpa ngillatulu ;
; küpa ngillatun ;
;;
; küpangillatulmi ;
; küpa chillkatun ;
; küpakimmapudungulay ;
; küpanentuy ;
; küpaltufinge ;
; küpakimlay ;
;;
; kupalepuaymi ;
