;Mapudungun;Traduccion
0; cùpaluchiche ;
1; cùpalquevuy ;
2; cùpalqueynpu ;
3; cùpa rezale ;
4; cùpa rezalmi ;
5; cùpa montule ;
6; cùpa christiano ;
7; cùpa thagquevimi ;
8; cùpa thaghquevin ;
9; cùpa thahquevin ;
10; cùpa inaytunvilu ;
11; cùpa quimaquepeymn ;
12; cùpa devtugey ;
13; cùpa lalcagey ;
14; cùpa quimimn ;
15; cùpa ynaytunquenolu ;
16; cùpa monntulbin ;
17; cùpa pralijn ;
18; cùpa ehegepatun ;
19; cùpayalunchi ;
20; cùpa ampinmagelaymn ;
21; cùpa montuel ;
22; cùpa perdonaquebi ;
23; cùpa genequebilu ;
24; cùpa vembile ;
25; cùpa entuvembile ;
26; cùpa vfchihuelaabuymn ;
27; cùpanpratennpag ;
28; cùpa huerilcalu ;
29; cùpa huerilcauhuelayaymn ;
