;Mapudungun;Traduccion;Significado
1;inche ñi ñukeyem kutrankawkey ;la que era mi madre se sacrificó\n;1
2;ka ñi fütacheyem ;también mis mayores\n;1
3;fütake che yem pikefuy nütramu ;las personas antiguas decían en las conversaciones. \n;1
4;müley ñi kudeyem ta faltay ñi kude ;está mi vieja anciana pues, pero falta mi vieja.\n;1
5;setenta y tre niewi ñi kudeyem ;setanta y tres años tenía mi viejita.\n;1
6;pikefuy ñi fütake che yem ;decían mis antiguos.\n;1
7;eymün kutranyem kuyfi peñi;Ustedes se enfermaron antes hermano\n;?
8;weda kawellu feypi ta füta kuyficheyem ;caballo malo decían los antiguos antes,  \n;1
9; si kuyfike cheyem ;Si de las personas antigua\n;1
10;ka mongelekefuy ñi ñukeyem ;también estaba viva mi elfinada madre\n;1
11;ñukeyem felen amuluufun;mi madre fallecida, asi avance\n;1
12;tañi ñukeyem fawpüle tripalay ;nuestra madre no salieron de aca\n;1
13;pütakecheyem vey ka;los antiguos, y ademas \n;1
14;küme dungu nefuyem kichu engün ;tenian muy buenas cosas \n;?
15;veypiki inche tañi ñukeyem ;decia mi madre\n;1
16;ngañi ñukeyem ;.......mi madre\n;1
17;tüva tañi ñukeyem ;esta de mi finada madre \n;1
18;ke kuyfikecheyem  fele;También antes  la gente era \n;1
19;felepefuy tati uh tañi kuyfikecheyem müna kim lawentu ;Sí ,asi era antiguamente la gente sabia de remedio\n;1
20;ñi kuyfikecheyem kim lawentufuy ;antiguamente las personas sabian de remedio \n;1
21;uh fey spahace kasokelay tañi kuyfikecheyem taiñ fütachem ;él no hace caso a las gentes antiguas ...\n;1
22;doy kümefuy porque inchiñ ta kuyfikecheyem doy kim lawentuy;era mejor porque nosotros las gentes antiguas, sabían más de remedios \n;1
23;ti kuye llallayem ;esa anciana suegra, \n;1
24;tañi malleyem ;el que era mi tío\n;1
25;kiduem taiñ taiñ fütakecheyem ;nuestros, nuestros, propios mayores \n;1
26; kom felekefuyem noise;Todo estaba así.  \n;?
27;taiñ fütake cheyem nga ;ellos antigua gente\n;1
28;fütakecheyem kimlu;Antigua gente que sabe\n;1
29;tami kuye ñukeyem machingefuy;mi vieja madre muerta era machi\n;1
30;tañi fütakecheyem lukutukefuy;mi antigua gente muerta se arrodillaba\n;1
31;taiñ ñukeyem chem chau ;mi Madre fallecida, no se que Padre.\n;1
32;machi ngefuy ñukeyem pu;Era machi mi Madre fallecida pues\n;1
33;pewmata mülefuy yem  ;Existen los sueños pues\n;?
34;uvicha niefuy ñi vüchakecheyem ;Oveja tenían mis viejitos\n;1
35;pütakecheyem dio tañi dungu ;.los ancianos la palabra dios\n;1
36;tañi mapu tañi tañi cheyem ;.mi tierra mi mi gente\n;1
37;tañi dewmatuel welu pütakecheyem ;.los que hicieron pero los ancianos\n;1
38;ta pütrake dungu füchakecheyem tañi dungu ;.los grandes temas de los ancianos sus palabras\n;1
39;ta cheyem antikuo cheyem feymu apotuy ;.la gente ancians gente por eso lleno\n;1
40;ka inche tañi ñukeyem ;también mi difunta madre \n;1
41;konkiawkevuy tañi pu tiayem ;siempre andaba con mis difuntas tías\n;1
42;feypiki tañi ñukeyem ;Así decía mi difunta madre \n;1
43;kim lawenkevuyem ;sabía hacer remedio \n ;?
44;kawellu iloyem fey ;Comian carne de caballo\n;?
45;kawellu ilo iyem ;Con la carne de caballo\n;?
46;ñi fücha hermanayem trafeoymi ;.mi vieja hermana difunta te quebraste\n;1
47;tañi hermanayem clorinda yem ;.Mi finada hermana Clorinda\n;1
48;vey tañi ñukeyem ;.esa mi finada madre.\n;1
49;inche ñichauni ñukeyem ;la finada madre de mi papa\n;1
50;fey feypikafuyem   parece  ;Y eso había dicho parece\n;?
51;rukamew akulngetuyem ;en la casa lo hacían llegar\n;?
52;tañi ñukeyem fentretu lawentuenu ;mi madre me hizo muchos remedios\n;1
53;rüngül pilun pi tañi ñukeyem ;\n;1
54;fey fey tati tukulelkefenu ñi ñukeyem ;Eso, eso es lo que me colocaba mi madre\n;1
55;wawüyumu fey famtukulelkefenu ñi ñukeyem ;\n;1
56;fey gueno elukefenu kafe tañi ñukeyem ;Bueno mi madre me daba café\n;1
57;fey elukefuiñ ñi ñukeyem ;Eso le daba a mi madre\n;1
58;femngechi peglleñ femekefeiñmu ñi ñukeyem ;esa verruga era la que me trataba mi madre\n;1
59;taiñ ñukeyem femngechi kimün ta elungeiñ  pu ;nuestra madre yenía este tipo de conocimiento le entregaron pues\n;1
60;pipingey ñi ñukeyem ;decía mi madre,\n;1
61;ñi ñukeyem chumuechi chi ta rakiduammuwmelu ;mi madre, no se cómo pensaría\n;1
62;feyta püñeñelmeyu ta andreyem tati ;le trató el parto el que era el Andrés pues\n;1
63;pingerke tañi ñukeyem ;le habían dicho a mi madre\n;1
64; antiguo ta femkunuel kuyfi ngekelay pu antiwüyem  cementerio;los antiguos dijeron que no tenían cementerio;?
65; antiguo niekeleyem kiñe kidu ;como antiguo no lo tenían\n;?
66;iñchiñ ñukeyem ta machingefuy;mi finada madre era machi\n ;1
67;pikefeneu taiñ ñukeyem ka;me decía mi finada madre también \n;1
68;pikefeneu tañi ñukeyem ;me decía mi finada madre. \n;1
69;taiñ ñukeyem femngechi ta tremiyiñ ;así crecimos con mi finada madre. \n;1
70;pikefeneu ñi ñukeyem ;me decía mi finada madre. \n;1
71;ngütramtukefuy tañi ñukeyem ;conversaba mi finada madre. \n;1
72;tumeki tañi ñukeyem kompa püllüli ;cómo hacia mi madre cuando le llegaba el espiritu.\n;1
73;taiñ ñukeyem chumli ta;mi madre y como esta  \n;1
74;pütra yem allfeñmu lay;Por una herida en el estómago murió, \n;?
75;take cheyem antiku cheyem ;Los ancianos, los antiguos difuntos \n;1
76;ta ke cheyem ;La gente antigua\n;1
77;ka müley ka fütake cheyem ;También hay antiguos\n;1
78;feyta kimlu tati pu kudeyem take cheyem ;estos sabían pues de competencias, nuestros antiguos,\n;1
79;mangiwitratripatuy ta püllü cheyem tati;\n;1
80;chuchilekefel ta fütake cheyem ;cómo estaban los mayores \n;1
81;antiku cheyem ;la gente antigua, \n;1
82;tañi fütake cheyem tati ;nuestras  gentes mayores.\n;1
