;Unnamed: 0;Mapudungun;Traduccion
1;1; ñukem che kimpun ;lo que le pasó a mi madre lo fui a saber\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
21;21;iñche kay tañi chawem kay ;yo tambien, mi padre pues\n
;;;
23;23; dulcecito dulcecito em ;Dulcecito, dulcecito.\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
39;39;ñi fücha abueluem tati ;mi vieja abuela pues \n
;;;
;;;
43;43;tañi paluem pi veyta nievin inche;dijo mi tía por eso la tengo yo.\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
66;66;fey feypienu chi füta wentruem ;si él me dijo viejo hombre\n
;;;
;;;
72;72;chawem jose maria katrilaw pingefuy ;finado padre José Maria Catrilau se llamaba\n
73;73;ni chawem  verdeeru pagre ;mi finado padre verdadero padre\n
74;74;kavey perimontunngekevuy ñi chawem ;También había visto vision sobrenatural mi finado padre.\n
75;75;ñi chawem y feymu pe;mi finado padre y quizás por eso\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
98;98;pifiñ domingo finaw domingo em ;decía Domingo finado Domingo \n
;;;
;;;
;;;
;;;
103;103;feymu ta nasefuy feymu ta tuyfuy tañi fücha abueluem ;Por eso nació entonces mi difunta abuela.
104;104;iñche ta fey  iñche ta kuifi wes wes ngefun em ;así yo, yo antes era un loco\n
105;105;kuyfi ta putufengefun em ;antes yo era un tomador\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
116;116;feyti püta wentru inchu inchu küme wentruem ;y ahí nosotros nos hicimos grandes hombres\n
;;;
;;;
;;;
;;;
;;;
122;122;ñi chawem ;el que era mi padre\n
123;123;tofillem lawen pütuken pifiñ;cualquier remdio tomo \n
;;;
;;;
;;;
130;130;kude domo em fey mongerpuen ;.la anciana mujer esa me revivio\n
;;;
132;132;witratuki müñetuki piki ñi chaw em ;.se levanta y se baña dicia mi padre \n
133;133;ta mapu tañi lamngen em pajonal ;.en la tierra de mi hermana en el pajonal\n
134;134;welunmangefun tañi lamngen em ;.se habian equivocado mi hermana \n
135;135;püta malle iñ flora iñ chawem ;mi tío paterno por el finado del papá de la Flora \n
;;;
;;;
;;;
139;139;kiñe pichike külko tukevuy ñi kukuem ;un  chaywe  chico sacaba mi  fina  abuela paterna \n
140;140;kom ta vemkevuy tañi kulle kukuem ;todos  eso hacia mi ..... abuela  paterno\n
;;;
142;142;ñi chawem  ;mi finado padre\n
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
175;175;wün rume areyem ta che;hasta la boca cuando la persona rie\n
177;177;fey chi akulngeyem chi lawen;y cuando traían ese remedio\n
178;178;ka itromyem ta che ;\n
179;179;ka yangiantü müleyem che ;y cuando la persona esta en pleno sol\n\n
180;180;ptra kürüftuyem ka;cuando toma harto viento también\n
181;181;pitruyem che ;al tener sarna la persona\n
182;182;ta pütokoñmual ta kutraniem ;debían beber al enfermarse\n
183;183;füskem piwkekeiñ ta ;Refrescamos el estómago\n
184;184;witrayem vey airetuy ;al levantarse hay toma aire\n
185;185;puruyem che ka;al bailar la gente también\n
186;186;tüfa nieyem kiñekemu ;ahora tengo a veces\n
187;187;nieyem feymu küpakey fey;lo tenemos que con ese se pasa.\n 
188;188;fey iñche kutran foroyem ;cuando a mí me duele mi muela\n
194;194;fem foye lawen;Remedio de foye.\n
196;196;tem kutranmu rume ;de cualquier enfermedad\n
197;197;fütake tralkaniyüm pukem ;cuando habían grandes truenos en invierno\n
199;199;welu femngechi feypieiñmu taiñ chawem ;pero de esta manera me decía mi padre,\n
203;203;welu inchiñ ruem eluwkülepelaiñ ka tüfey ka ;Pero nosotros estamos muy entregados a eso.\n
204;204;awem kay ;Que lastima es,\n
207;207;uh akuayem mapumew;que llgan a la tierra\n
208;208;wütrintu kavuyem ;\n
209;209;feyta fendefiyiñ feyta iyagel eluketueyiñmu pukem ;Entonces lo vendimos y de ahí nos da para comer en el invierno\n
210;210;yem rume kümelkaleafuy che ;en cualquier cosa podría estar bien la gente\n
211;211;tungey fem pichikeche ;se contagiaron los niños\n
212;212;püuyem pitalmu küme atiendengekimün ;llegan en el hospital y lo atienden bien\n
213;213;feulakay inautyem che ;Ahora cuando muere la gente\n
216;216;niafuyem femürkolerpuante feymu ;así iremos a seguir\n
217;217;yem  aparte nekele engün felerpuafuy ;aparte tenían para seguir así \n
218;218;wem poñi polüm wa ;papas nueva, choclo cocido\n
219;219;rupayem nellen;al pasar el aire\n
220;220;inche ñi chawem ;yo mi finada madre \n
224;224;pelocheki müleyem peloche püllü;hay quienes ven, quienes ven los espirítus\n
225;225;feyti mallem uh eymi;Y aquel tío suyo \n
228;228;müleyem ta ngillatun miauki ta;en donde hay rogativa anda el \n
232;232;antiku machiem ;era una machi antigua.\n
239;239;pelotuchepelu kimlu feyem erkepi;el que hace pelotun a la gente ese sabe. \n
245;245;küme machiem kidu pu noise ;era buen machi ella pues\n
246;246;pütake abueluem tañi dungu;el asuntos de los antiguo abuelo\n
247;247;we trem ta inche pipelayelanam;soy joven recien lo he dicho\n
248;248;machikay ta gürem konün;la machi es como un tejido que entra \n
249;249;feley may feleyem        ;Así es cuando estan..                                                                                                                                                                                                         
250;250;ta ko famngen may pukem may chewpüle rume wefi ;en cualquier parte aparece\n
251;251;pu trem wentru reke;como anciano hombre parezco\n
252;252;ta amuy ta pital em koni ;Y vamos, entramos al hospital.\n
253;253;feymu ta fem nulalu piwke;Por eso no lo va hacer el corazón.\n
254;254;kidu ñi chaw noise chawem latuy;Mí padre solito, murió.\n
255;255;re pu spacampesino akuy em ;habían llegado puros campesinos \n
256;256;spaasí spaque müleyüm ni müley em  spatiempo;así que están donde estaba pues en un tiempo \n
257;257;tani pütakeche akuy em ;el que llegó dond emis mayores \n
258;258;akuy em ta mapuche dunguki;cuando llega habla en mapuche.\n
259;259;spay kiñekemu puyem ;y algunas veces cuando llegaban \n
260;260;feyngey feyngey  ta tani chawem ;Así es, así es mi finado padre \n
261;261;mawün pediem mawkefuy;cuando pedían lluvia llovía \n
262;262;rrumel rumel fey püta chawem ;Siempre, siempre, esto el gran padre \n
263;263;ffem femngeafuiñ may;Así nos harían pues.\n
264;264;kka fem ;También así.\n
265;265;ppüta chawem tani eluetew dungun ;Si el gran padre nos dejó el habla \n
267;267;tami chaw em pikefenew tañi ñukeyem;lo sanaba mi papá, así decia mi madre\n
269;269;kom trapumleyu tami chaw em pienu ;todo lo juntaba tu pápa me dijo\n
270;270;tañi ñuke em ka ta petu müte kimnolu ;mi madre tovía no sabe mucho\n
273;273;tulelu rüpü tukefenew kom tañi chaw em ;lo que estaba tomado del camino me hacia bien decia mi pápa\n
274;274;kimelkünuenu tami chaw em noise ;me daba a conocer mi elfinado padre\n
277;277;tami chaw em tüfey lamuen ;y tú elfinado pápa hermana\n
278;278;tañi chaw em re pewmamu ;Mi elfinado padre por medio del sueño \n
280;280;kom kimngefuy tañi chaw em pingi ta tüfey ;todo sabía mi elfinado padre\n
285;285;ta chi machiem ta faw ta akufufuy pu kayulmu;esta machi llegaba en la familia de lo Kayulmu\n
292;292; depue femechi fem pewmalu;después cuando soño de eso\n
293;293;taiñ füchakeche inche tañi abueluem ;nuestras gentes  mayores, yo mi abuelo \n
294;294;abueluem ;mi abuelo \n
295;295;ta kiñe pütrenmu pütrem nieki ngillatuki follemew;en un cigarro, cigarro tiene para su rogativa con canelo\n
296;296;pukem spapero;En el invierno, pero.\n
297;297;inche tañi chuchuem ñi weku ;mi \n
298;298;fem pelavuy may ;Debe haber sido así pues\n
299;299;tani chawem no rume;ni mi padre siquiera.\n
300;300;vemaychi kam vem vemle ta vemayka;Va ser así quizás y eso pasa, va ser así pues.\n 
301;301;hojayem ;cuando lo hojaban\n
302;302;inche tañi vücha malle em ka vey ka ;yo mí anciano tío también el pues\n
303;303;inche ñi chaw em rume tati epe ;mi finado padre pues casi \n
304;304;chawem ta newenngevuy newenngevuy;finado padre tenía fuerza, fuerza.\n 
305;305;nütramyem yewengekerkelay ta kewün ;una conversación no le da vergüenza la boca\n
306;306;vey chaw ngünechen ñi vem kunun piki;eso padre Ngünechen que lo dejo así dice \n
308;308;ñi chawem tenia como ochenta ;mi finado padre tenia como ochenta \n
309;309;veychi kiñe pukem ;esa ves un invierno \n
310;310;pukem ngewelay iyal ;en el invierno no hay más alimentos \n
311;311;ngañkoyem ;cuando se decae \n
312;312;vey pütrem reke pifürmangeki;eso como cigarrillo se asperge. \n
317;317;elungi kümeke machi kintuy ñi tañi chawem welu tutelay;mi padre busco una buena machi, pero no le hizo efecto\n
318;318;tami chawem ka femuechi amuy  ;¿Tu papá tambien se fue así?\n
