;Mapudungun
0;cúyem 
1;cùyem 
2;hualem 
3;hualem 
4;tahuem 
5;apo em 
6;huem 
7;huerquen em 
8;anca em 
9;betlem 
10;coñiel em 
11;tem 
12;aleluyeel em  
13;yem 
14;cuyem 
15;gayem  
16;gayem 
17;apo em 
18;piel em  
19;apeem  
20;mem 
21;ayùel em 
22;apo em 
23;gñen em 
24;allcùbuel em 
25;ierusalem 
26;yem  
27;tem 
28;piel em 
29;gayem  
30;yem 
31;ierusalem 
32;vembuel em 
33;autem 
34;payayem  
35;papayem  
36;velem  
37;velem 
38;ayùngey em 
39;pùthem 
40;partem 
41;calepino      em  
42;yem  
43;lacloy em 
44;them 
45;animar em  
46;yem  
47;huaca em 
48;euem 
49;velem  
50;euem 
51;athùthùy em 
52;pel em  
53;ancùnman em 
54;quidem 
55;chao em  
56;them  
57;euem  
58;perimontuy em 
59;them 
60;them 
61;them 
62;them  
63;them  
64;cullin em 
65;pigevuy em 
66;thùthùy em 
67;euem 
68;them 
69;euem  
70;lonco em 
71;yem 
72;lay em 
73;lelvun em 
74;euem 
75;euem 
76;euem  
77;quidem 
78;chao em  
79;lamgen em 
80;ancianothem  
81;them  
82;modovem  
83;quem  
84;nadachem 
85;veyvelem       
86;cosachem  
87;tabacopùthem  
88;ell  em  
89;am  em  
90;yem  
91;rulmen em  
92;yem  
93;yem 
94;yem 
95;uvchidùgunmamoan em  
96;ancagen em  
97;yem   
98;yem   
99;yem   
100;yem   
101;yem 
102;yem 
103;yem 
104;yem 
105;ehuem 
106;ehuem 
107;dios em 
108;dios em 
109;dios em  
110;yem 
111;jerusalem 
112;yem  
113;ehuem  
114;them    
115;yem  
116;velem 
117;velem 
118;them    
119;them 
120;velem 
121;rem 
122;nolenrem 
123;uxorem 
124;tandem 
125;duxisti em   
126;mulierem  
127;aliquem  
128;mulierem 
129;pollutionem    
130;pollitionem 
131;bestialitatem 
132;them 
133;rulmen em 
134;rulmen em 
135;yem 
136;yem 
137;qualquiem 
138;ehuem 
139;vemgey em 
140;lay em 
141;vem   
142;yem 
143;ehuem 
144;velem 
145;velem 
146;ehuem 
147;ehuem 
148;gùñin em  
149;uncon em  
150;quem 
151;ùhuem 
152;them  
153;vem  
154;cobardecùmpem 
155;chem  
156;comadresidem 
157;vem  
158;guardarùllhuem  
159;el  em  
160;espuelaidem  
161;chimchimem  
162;inviernopuquem  
163;antepasadosputhem  
164;nadachem 
165;cùmpem  
166;cosachem 
167;dios em  
168;velem  
169;pùthem 
170;casachem 
171;pusilaminecùmpem  
172;cosachem 
173;cosachem  
174;riendasidem  
175;semanaidem  
176;tabacopùthem  
177;cùmpem  
178;quem  
179;them  
180;aththùy em 
181;partem  
182;cayñetunidem  
183;chauman em 
184;chem  
185;leem 
186;ehuem  
187;ehuem 
188;ell  em  
189;chem  
190;c  em  
191;yem  
192;payayem 
193;chachayem 
194;ehuem  
195;saltem 
196;dem  
197;equidem  
198;huaychivtunidem  
199;huaydùvnidem  
200;hualnidem 
201;haullùmnidem  
202;slecho  em 
203;huelumlenidem   
204;virginem  
205;hueragenidem  
206;hueranitem 
207;huimtunidem  
208;yuculnidem 
209;yem 
210;lalnidem  
211;tem 
212;llodnidem  
213;desem 
214;llùpañnidem  
215;mamùllnidem  
216;metatunidem  
217;pollotionem 
218;naltunidem  
219;tuautem 
220;ñivtunidem      
221;ollontunidem  
222;pollutionem 
223;partem  
224;piancùnidem  
225;them  
226;puquem  
227;queliluidem  
228;quem  
229;puquem 
230;assi em 
231;reureunidem  
232;rincùtunidem  
233;rùgaycoidem  
234;postem  
235;chem  
236;chem  
237;idem 
238;tùcun em 
239;tùdcùglmidem  
240;partem  
241;tu em 
242;puthem  
243;them 
244;idem 
245;veyvelem 
246;velem  
247;quidem 
248;vantenaitem 
249;idem  
250;vùltunidem 
251;vùlcùnonidem 
252;yem  
253;vùnnidem  
254;uchegey em 
255;diem 
256;idem 
257;ùdantunidem  
258;partem 
259;ùthuvnagùlnidem 
260;pinmoem 
261;cuyem 
262;pinmoem 
263;pinmoem 
264;ventem 
