GLOTTOCODE;Name;ISOCODE
3adt1234;3Ad-Tekles;
aala1237;Aalawa;
aant1238;Aantantara;
aari1238;Aari-Gayil;aiz
aari1239;Aari;aiw
aari1240;Aariya;aay
aasa1238;Aasax;aas
aasd1234;Aasdring;
aata1238;Aatasaara;
abaa1238;Rngaba;
abab1239;Ababda;
abab1240;Ababuan;
abad1240;Abadzex;
abad1241;Abadi;kbt
abad1242;Abadei;
abad1243;Abadani;
abag1245;Abaga;abg
abai1239;Abai;
abai1240;Abai Sungai;abf
abai1241;Abai Tubu-Abai Sembuak;
abaj1234;Abajeño Mexican Spanish;
abak1242;Abak;
abak1243;Abaka;
abal1238;Abaletti;
abam1239;Abam;
aban1242;Abanyom;abm
aban1243;Abancay;
aban1245;Abanyom-Nkem-Nkum;
abar1238;Mungbam;mij
abar1239;Abar;
abau1245;Abau;aau
abaw1238;Abawa;
abay1238;Abayongo;
abaz1241;Abaza;abq
abbe1238;Abbey-Ve;
abbr1238;Abbruzzesi;
abch1234;Abchuya'i;
abda1238;'Abd Al-Kuri;
abed1238;Abedju-Azaki;
abee1242;Abé;aba
abee1243;Abe (Anyin);
abel1234;Abellen-Botolan;
aben1247;Abeng;
aben1248;A'beng;
aben1249;Abenlen Ayta;abp
aben1250;Abenaki;
abgu1238;Abgue;
abid1235;Abidji;abi
abie1238;Abiem;
abig1238;Abigar;
abil1238;Abiliang;
abin1242;Abini;
abin1243;Abinomn;bsa
abip1241;Abipon;axb
abis1238;Aewa;ash
abka1238;Abkar;
abkh1242;Abkhaz-Adyge;
abkh1243;Abkhaz-Abaza;
abkh1244;Abkhaz;abk
able1237;Ableg-Salegseg;
abob1234;Abo-Barombi;
abom1238;Abom;aob
abon1238;Abon;abo
aboo1241;Abo (Bokyi);
aboo1242;Abo;
abou1238;Abou Charib;
abra1237;Abra-De-Ilog;
abro1238;Abron;abr
abru1239;Abruzzese-Calabrian-Molisean Romani;
absh1238;Absheron;
abua1243;Abua-Odual;
abua1244;Abua;abn
abua1245;Abu' Arapesh;aah
abui1241;Abui;abz
abuj1237;Abujmaria;
abul1238;Abuldugu;
abun1252;Abun;kgr
abun1253;Abun Je;
abun1254;Abun Tat;
abun1255;Abun Ji;
abur1243;Abure;abu
abur1244;Abureni;mgj
abus1238;Abu Sinun;
abuu1241;Abu;ado
abuz1234;Abuzaydabadi;
abya1234;Abyane'i;
abzh1238;Abzhui;
acad1238;Acadian;
acat1239;Acatepec Me'phaa;tpx
acat1240;Acatepec;
acch1238;Acchami;
acha1249;Longchuan Achang;acn
acha1250;Achagua;aca
acha1252;Achangic;
ache1244;Ache;yif
ache1245;Acheron;acz
ache1246;Aché;guq
ache1247;Acheron-Tocho;
achi1247;Achik;
achi1255;A'chick;
achi1256;Achi;acr
achi1257;Acehnese;ace
achi1258;Achi', Cubulco;acc
acht1238;Achterhoeks;act
acht1239;Achterveld;
achu1247;Achumawi;acv
achu1248;Achuar-Shiwiar;acu
achu1249;Achuar;
acii1238;Aci;
acod1234;Acodi;
acol1236;Acoli;ach
acom1246;Acoma;
acro1239;Acroá;acs
acro1240;Acrolectal Fiji English;
adaa1238;Ada;
adab1235;Adabe;adb
adae1234;Adaeseño Spanish;
adai1235;Adai;xad
adam1238;Adamorobe Sign Language;ads
adam1253;Adamawa Fulfulde;fub
adam1254;Adamawa Fali;
adam1257;Adamawa Bua;
adam1260;Adamawa-Bagirmi Fulfulde;
adan1247;Adangme;ada
adan1248;Adangbe;adq
adan1249;Adan;
adan1250;Adang (Lundayeh);
adan1251;Adang;adn
adan1252;Adang-Hamap-Kabola;
adap1234;Adap;adp
adar1242;Adarawa;
adas1235;Adasen;tiu
addi1234;Addis Ababa Ethiopian Sign Language;
adel1244;Adele;ade
aden1241;Adeni;
aden1242;'Aden;
ader1239;Aderawa;
adew1237;Adewada;
adga1237;Adgawan;
adha1237;Adham;
adha1238;Adhari;
adho1241;Adhola-Alur-Luo;
adho1242;Adhola-Luo;
adho1243;Adhola;adh
adib1240;Adibom;
adid1237;Adi Dravida;
adie1238;Adie;
adih1238;Adihup;
adij1237;Adijaya;
adim1238;Adim;
adio1239;Adioukrou;adj
adiv1238;Adivasi Wagdi;
adiv1239;Kotia-Adivasi Oriya-Desiya;ort
adiw1235;Adiwasi Garasia;gas
adiy1237;Adiya;
adja1238;Adjabdurah;
adju1239;Adjumani;
adku1239;Adkuri;
admi1239;Admiralty Islands;
adny1235;Adnyamathanha;adt
adom1238;Adoma;
adon1237;Adonara;adr
adoo1237;Ado;
adoy1238;Adoyo;
adug1238;Aduge;adu
adun1238;Adun;
adur1234;Adurgari;
aduu1238;Adu;
adyg1241;Adyghe;ady
adze1240;Adzera;adz
adze1241;Adzera (Retired);azr
adzh1238;Adzhar;
aegi1237;Aegina;
aeka1244;Aeka;aez
aeky1238;Aekyom;awi
aeol1234;Aeolic;
aequ1239;Aequian;
aerr1238;Aer;aeq
aewa1238;Aewa (Western Province);
afaa1238;Afa;
afad1236;Afade;aal
afar1241;Afar;aar
afas1238;Af-Ashraaf;
afen1234;Afenmai-Bendel;
affa1240;Affade;
affi1239;Affiniam;
afgh1238;Afghanistan-Uzbekistan Arabic;
afgh1239;Afghan Sign Language;afg
afgh1240;Afghanistan Gorbat;
afgh1241;Afghanistan Balochi;
afhe1238;Af-Helledi;
afik1238;Afikpo;
afit1238;Afitti;aft
afor1239;Afore;
afri1271;Afridi;
afri1272;Afrike;
afri1273;Afrikaansic;
afri1274;Afrikaans;afr
afri1275;Afrihili;afh
afri1276;African American Vernacular English;
afro1254;Afro-Seminole Creole;afs
afro1255;Afro-Asiatic;
afro1259;Afro-Asiatic (Unattested);
afro1260;Afro-Bolivian Spanish;
afsh1238;Afshari;
afsh1239;Afsharic;
afta1234;Aftari;
afud1235;Afudu;
agaa1241;Aga;
agal1241;Agalo;
agam1238;Agam;
agan1234;Agan;
agan1235;Agan Nenets;
agar1249;Agar;
agar1250;Agari of Kolaba;
agar1251;Agariya;agi
agar1252;Agarabi;agd
agat1236;Agatu;agc
agau1239;Agaunshe;
agav1236;Agavotaguerra;avo
agay1235;Agayop;
agba1238;Agbarho;
agbi1234;Agbirigba;
agbo1241;Agbome;
agbo1242;Agbon;
agee1238;Ageer;
aghe1239;Aghem;agq
aghe1240;Aghemic;
aghe1241;Aghem-Weh;
agho1238;Agholo;
aghu1253;Aghul;agx
aghu1254;Aghu Tharnggalu;ggr
aghu1255;Aghu;ahh
aghu1256;Aghu Tharnggalu (Retired);gtu
aghu1259;Aghul-Lezgi;
aghw1237;Aghwan;xag
agii1244;Agi (Moru);
agii1245;Agi;aif
agiy1234;Agi-Yeri;
agne1238;Agneby;
agoa1234;Agoan;
agob1244;Agob-Ende-Kawam;kit
agob1245;Agöb;
agoi1244;Agoi (Gen);
agoi1245;Agoi-Doko-Iyoniyong;
agoi1246;Agoi;ibm
agon1238;Agona;
agra1238;Agrab;
agta1234;Agta-Pahanan;apf
agua1251;Aguano;aga
agua1252;Aguacateco;agu
agua1253;Aguaruna;agr
agua1254;Aguarico;
